ANO_LETIVO;NM_DIRETORIA;NM_MUNICIPIO;CD_REDE_ENSINO;APR_1;REP_1;ABA_1;APR_2;REP_2;ABA_2;APR_3;REP_3;ABA_3
2023;ADAMANTINA;ADAMANTINA;1;0;0;0;100;0;0;100;0;0
2023;ADAMANTINA;DRACENA;1;0;0;0;98,93;1,07;0;98,89;1,11;0
2023;ARARAQUARA;SANTA LUCIA;1;0;0;0;100;0;0;94,61;5,39;0
2023;ARARAQUARA;TRABIJU;1;0;0;0;0;0;0;100;0;0
2023;ASSIS;ASSIS;1;0;0;0;97,6;2,37;0,03;94,86;5,04;0,1
2023;ASSIS;BORA;1;0;0;0;100;0;0;97,14;2,86;0
2023;ASSIS;CANDIDO MOTA;1;100;0;0;99;0,92;0,08;94,82;4,34;0,84
2023;ASSIS;CRUZALIA;1;0;0;0;100;0;0;100;0;0
2023;ASSIS;FLORÍNEA;1;100;0;0;100;0;0;98,7;0;1,3
2023;ASSIS;IEPE;1;0;0;0;99,23;0,77;0;98,88;1,12;0
2023;ASSIS;LUTECIA;1;0;0;0;99,38;0,62;0;97,8;2,2;0
2023;ASSIS;MARACAI;1;0;0;0;99,82;0,18;0;98,97;1,03;0
2023;ASSIS;NANTES;1;0;0;0;98,74;1,26;0;98,59;1,41;0
2023;ASSIS;PALMITAL;1;0;0;0;94,98;5,02;0;91,4;8,6;0
2023;ASSIS;PARAGUACU PAULISTA;1;0;0;0;98,83;1,17;0;97,87;2,13;0
2023;ASSIS;PEDRINHAS PAULISTA;1;0;0;0;100;0;0;100;0;0
2023;ADAMANTINA;FLORA RICA;1;0;0;0;0;0;0;98,28;1,72;0
2023;ADAMANTINA;FLORIDA PAULISTA;1;0;0;0;100;0;0;100;0;0
2023;ADAMANTINA;INUBIA PAULISTA;1;0;0;0;97,53;1,23;1,24;100;0;0
2023;ADAMANTINA;IRAPURU;1;100;0;0;95,99;4,01;0;95,81;4,19;0
2023;ADAMANTINA;JUNQUEIROPOLIS;1;0;0;0;99,16;0,84;0;97,22;2,78;0
2023;ADAMANTINA;LUCELIA;1;0;0;0;99,6;0,4;0;99,47;0,53;0
2023;ADAMANTINA;MARIAPOLIS;1;0;0;0;100;0;0;97,5;2,5;0
2023;ADAMANTINA;MONTE CASTELO;1;0;0;0;99,45;0;0,55;100;0;0
2023;ADAMANTINA;NOVA GUATAPORANGA;1;0;0;0;100;0;0;100;0;0
2023;ADAMANTINA;OSVALDO CRUZ;1;0;0;0;99,59;0,41;0;98,6;1,4;0
2023;ADAMANTINA;OURO VERDE;1;0;0;0;0;0;0;100;0;0
2023;ADAMANTINA;PACAEMBU;1;0;0;0;100;0;0;99,55;0,45;0
2023;ADAMANTINA;PANORAMA;1;0;0;0;99,59;0,41;0;99,38;0,62;0
2023;ADAMANTINA;PAULICEIA;1;0;0;0;99,32;0,68;0;98,17;1,83;0
2023;ADAMANTINA;PRACINHA;1;0;0;0;100;0;0;100;0;0
2023;ADAMANTINA;SAGRES;1;0;0;0;100;0;0;100;0;0
2023;ADAMANTINA;SALMOURAO;1;0;0;0;99,1;0,9;0;99,06;0,94;0
2023;ADAMANTINA;SANTA MERCEDES;1;0;0;0;100;0;0;100;0;0
2023;ADAMANTINA;SAO JOAO DO PAU D'ALHO;1;0;0;0;100;0;0;100;0;0
2023;ADAMANTINA;TUPI PAULISTA;1;0;0;0;0;0;0;95,49;2,46;2,05
2023;AMERICANA;AMERICANA;1;99,75;0,25;0;97,38;2,62;0;92,27;7,45;0,28
2023;AMERICANA;NOVA ODESSA;1;0;0;0;98,82;1,01;0,17;95,51;3,93;0,56
2023;AMERICANA;SANTA BARBARA D'OESTE;1;99,94;0,06;0;98,47;1,49;0,04;93,52;5,07;1,41
2023;ANDRADINA;ANDRADINA;1;0;0;0;98,71;1,29;0;96,47;3,46;0,07
2023;ANDRADINA;CASTILHO;1;0;0;0;99,78;0,22;0;97,4;2,6;0
2023;ANDRADINA;GUARACAI;1;0;0;0;100;0;0;98,45;1,55;0
2023;ANDRADINA;ILHA SOLTEIRA;1;0;0;0;99,58;0,31;0,11;97,96;2,04;0
2023;ANDRADINA;ITAPURA;1;0;0;0;99,55;0,45;0;100;0;0
2023;ANDRADINA;LAVINIA;1;0;0;0;0;0;0;98,83;1,17;0
2023;ANDRADINA;MIRANDOPOLIS;1;0;0;0;99,88;0,12;0;98,76;1,03;0,21
2023;ANDRADINA;MURUTINGA DO SUL;1;0;0;0;99,34;0,66;0;96,94;3,06;0
2023;ANDRADINA;NOVA INDEPENDENCIA;1;0;0;0;0;0;0;98,11;1,89;0
2023;ANDRADINA;PEREIRA BARRETO;1;0;0;0;100;0;0;100;0;0
2023;ANDRADINA;SUD MENNUCCI;1;0;0;0;0;0;0;98,98;1,02;0
2023;APIAI;APIAI;1;99,85;0,15;0;99,48;0,52;0;99,6;0,4;0
2023;APIAI;BARRA DO CHAPEU;1;0;0;0;100;0;0;100;0;0
2023;APIAI;GUAPIARA;1;0;0;0;100;0;0;99,84;0,16;0
2023;APIAI;IPORANGA;1;0;0;0;100;0;0;99,31;0,69;0
2023;APIAI;ITAOCA;1;100;0;0;100;0;0;99,32;0,68;0
2023;APIAI;ITAPIRAPUA PAULISTA;1;0;0;0;99,55;0,45;0;97,33;2,67;0
2023;APIAI;RIBEIRA;1;0;0;0;100;0;0;100;0;0
2023;APIAI;RIBEIRAO BRANCO;1;0;0;0;99,55;0,45;0;95,04;4,96;0
2023;ARACATUBA;ARACATUBA;1;100;0;0;99,65;0,35;0;98,83;1,17;0
2023;ARACATUBA;BENTO DE ABREU;1;0;0;0;100;0;0;100;0;0
2023;ARACATUBA;GUARARAPES;1;0;0;0;99,91;0,09;0;99,31;0,69;0
2023;ARACATUBA;RUBIACEA;1;0;0;0;100;0;0;100;0;0
2023;ARACATUBA;SANTO ANTONIO DO ARACANGUA;1;0;0;0;0;0;0;99,55;0,45;0
2023;ARACATUBA;VALPARAISO;1;0;0;0;100;0;0;99,68;0,32;0
2023;ARARAQUARA;AMERICO BRASILIENSE;1;0;0;0;99,02;0,98;0;96,48;3,52;0
2023;ARARAQUARA;ARARAQUARA;1;100;0;0;99,01;0,98;0,01;97,03;2,4;0,57
2023;ARARAQUARA;BOA ESPERANCA DO SUL;1;0;0;0;0;0;0;94,66;5,34;0
2023;ARARAQUARA;GAVIAO PEIXOTO;1;0;0;0;0;0;0;100;0;0
2023;ARARAQUARA;MATAO;1;99,88;0,12;0;99,95;0,05;0;98,78;1,22;0
2023;ARARAQUARA;MOTUCA;1;0;0;0;0;0;0;95,69;1,72;2,59
2023;ARARAQUARA;NOVA EUROPA;1;0;0;0;0;0;0;100;0;0
2023;ARARAQUARA;RINCAO;1;0;0;0;100;0;0;99,19;0,81;0
2023;ASSIS;PLATINA;1;0;0;0;93,41;6,04;0,55;94,74;3,95;1,31
2023;ASSIS;TARUMA;1;0;0;0;97,69;2,2;0,11;90,78;9,01;0,21
2023;AVARE;AGUAS DE SANTA BARBARA;1;0;0;0;100;0;0;97,72;2,28;0
2023;AVARE;ARANDU;1;0;0;0;99,7;0,3;0;97,92;2,08;0
2023;AVARE;AVARE;1;0;0;0;97,13;2,79;0,08;94,78;4,93;0,29
2023;AVARE;CERQUEIRA CESAR;1;0;0;0;99;1;0;97,88;2,12;0
2023;AVARE;IARAS;1;0;0;0;94,74;5,26;0;98,05;1,95;0
2023;AVARE;ITAI;1;0;0;0;99,77;0,23;0;97,59;2,41;0
2023;AVARE;TAQUARITUBA;1;0;0;0;99,53;0,37;0,1;95,78;4,22;0
2023;BARRETOS;ALTAIR;1;0;0;0;98,26;1,74;0;94,95;4,04;1,01
2023;BARRETOS;BARRETOS;1;0;0;0;99,1;0,84;0,06;98,3;1,39;0,31
2023;BARRETOS;COLINA;1;0;0;0;0;0;0;100;0;0
2023;BARRETOS;COLOMBIA;1;0;0;0;0;0;0;97,09;2,91;0
2023;BARRETOS;GUAIRA;1;0;0;0;100;0;0;96,03;3,25;0,72
2023;BARRETOS;GUARACI;1;0;0;0;0;0;0;99,66;0,34;0
2023;BARRETOS;JABORANDI;1;0;0;0;0;0;0;99,37;0,63;0
2023;BARRETOS;OLIMPIA;1;0;0;0;99,93;0,07;0;99,79;0,21;0
2023;BARRETOS;SEVERINIA;1;0;0;0;0;0;0;100;0;0
2023;BAURU;AGUDOS;1;0;0;0;98,38;1,5;0,12;97,36;2,34;0,3
2023;BAURU;AREALVA;1;0;0;0;95,32;4,68;0;94,67;5,33;0
2023;BAURU;AVAI;1;96,55;3,45;0;99,58;0,42;0;98,73;1,27;0
2023;BAURU;BALBINOS;1;0;0;0;100;0;0;100;0;0
2023;BAURU;BAURU;1;99,49;0,51;0;96,49;3,23;0,28;92,32;6,53;1,15
2023;BAURU;CABRALIA PAULISTA;1;0;0;0;94,55;3,64;1,81;84,26;4,63;11,11
2023;BAURU;DUARTINA;1;0;0;0;98,17;1,83;0;95,48;4,52;0
2023;BAURU;IACANGA;1;0;0;0;0;0;0;93,07;6,93;0
2023;BAURU;LENCOIS PAULISTA;1;0;0;0;97,53;2,34;0,13;97,17;2,65;0,18
2023;BAURU;LUCIANOPOLIS;1;0;0;0;96,15;3,85;0;98,61;1,39;0
2023;BAURU;PAULISTANIA;1;0;0;0;99,04;0;0,96;100;0;0
2023;BAURU;PIRAJUI;1;0;0;0;100;0;0;100;0;0
2023;BAURU;PIRATININGA;1;0;0;0;95,17;4,83;0;95,49;4,51;0
2023;BAURU;PRESIDENTE ALVES;1;100;0;0;100;0;0;99;1;0
2023;BAURU;REGINOPOLIS;1;0;0;0;97,56;2,44;0;98,04;1,96;0
2023;BAURU;UBIRAJARA;1;0;0;0;94,44;5,56;0;81,93;18,07;0
