Localidade da Escola;País;Região;UF;Município;Matrículas;Categoria 1;Categoria 1 - Ordenação;Categoria 2;Categoria 2 - Ordenação;Etapa de Ensino - Superior;Etapa de Ensino
Brasil;Brasil;;;;45000;Amarela;4;Estadual;2;Educação Básica;Educação Básica
Brasil;Brasil;;;;1981;Amarela;4;Federal;1;Educação Básica;Educação Básica
Brasil;Brasil;;;;78387;Amarela;4;Municipal;3;Educação Básica;Educação Básica
Brasil;Brasil;;;;48833;Amarela;4;Privada;4;Educação Básica;Educação Básica
Brasil;Brasil;;;;4749488;Branca;1;Estadual;2;Educação Básica;Educação Básica
Brasil;Brasil;;;;137448;Branca;1;Federal;1;Educação Básica;Educação Básica
Brasil;Brasil;;;;6916054;Branca;1;Municipal;3;Educação Básica;Educação Básica
Brasil;Brasil;;;;4096962;Branca;1;Privada;4;Educação Básica;Educação Básica
Brasil;Brasil;;;;169304;Indígena;5;Estadual;2;Educação Básica;Educação Básica
Brasil;Brasil;;;;2140;Indígena;5;Federal;1;Educação Básica;Educação Básica
Brasil;Brasil;;;;205241;Indígena;5;Municipal;3;Educação Básica;Educação Básica
Brasil;Brasil;;;;10169;Indígena;5;Privada;4;Educação Básica;Educação Básica
Brasil;Brasil;;;;2222493;Não declarada;10;Estadual;2;Educação Básica;Educação Básica
Brasil;Brasil;;;;67906;Não declarada;10;Federal;1;Educação Básica;Educação Básica
Brasil;Brasil;;;;3903563;Não declarada;10;Municipal;3;Educação Básica;Educação Básica
Brasil;Brasil;;;;2779604;Não declarada;10;Privada;4;Educação Básica;Educação Básica
Brasil;Brasil;;;;6189599;Parda;3;Estadual;2;Educação Básica;Educação Básica
Brasil;Brasil;;;;152538;Parda;3;Federal;1;Educação Básica;Educação Básica
Brasil;Brasil;;;;10961927;Parda;3;Municipal;3;Educação Básica;Educação Básica
Brasil;Brasil;;;;2322902;Parda;3;Privada;4;Educação Básica;Educação Básica
Brasil;Brasil;;;;676966;Preta;2;Estadual;2;Educação Básica;Educação Básica
Brasil;Brasil;;;;21509;Preta;2;Federal;1;Educação Básica;Educação Básica
Brasil;Brasil;;;;1069546;Preta;2;Municipal;3;Educação Básica;Educação Básica
Brasil;Brasil;;;;259362;Preta;2;Privada;4;Educação Básica;Educação Básica
Centro-Oeste;Brasil;Centro-Oeste;;;5720;Amarela;4;Estadual;2;Educação Básica;Educação Básica
Centro-Oeste;Brasil;Centro-Oeste;;;206;Amarela;4;Federal;1;Educação Básica;Educação Básica
Centro-Oeste;Brasil;Centro-Oeste;;;6109;Amarela;4;Municipal;3;Educação Básica;Educação Básica
Centro-Oeste;Brasil;Centro-Oeste;;;4658;Amarela;4;Privada;4;Educação Básica;Educação Básica
Centro-Oeste;Brasil;Centro-Oeste;;;298870;Branca;1;Estadual;2;Educação Básica;Educação Básica
Centro-Oeste;Brasil;Centro-Oeste;;;11103;Branca;1;Federal;1;Educação Básica;Educação Básica
Centro-Oeste;Brasil;Centro-Oeste;;;409823;Branca;1;Municipal;3;Educação Básica;Educação Básica
Centro-Oeste;Brasil;Centro-Oeste;;;294066;Branca;1;Privada;4;Educação Básica;Educação Básica
Centro-Oeste;Brasil;Centro-Oeste;;;19092;Indígena;5;Estadual;2;Educação Básica;Educação Básica
Centro-Oeste;Brasil;Centro-Oeste;;;126;Indígena;5;Federal;1;Educação Básica;Educação Básica
Centro-Oeste;Brasil;Centro-Oeste;;;32169;Indígena;5;Municipal;3;Educação Básica;Educação Básica
Centro-Oeste;Brasil;Centro-Oeste;;;1102;Indígena;5;Privada;4;Educação Básica;Educação Básica
Centro-Oeste;Brasil;Centro-Oeste;;;251718;Não declarada;10;Estadual;2;Educação Básica;Educação Básica
Centro-Oeste;Brasil;Centro-Oeste;;;11038;Não declarada;10;Federal;1;Educação Básica;Educação Básica
Centro-Oeste;Brasil;Centro-Oeste;;;200408;Não declarada;10;Municipal;3;Educação Básica;Educação Básica
Centro-Oeste;Brasil;Centro-Oeste;;;196948;Não declarada;10;Privada;4;Educação Básica;Educação Básica
Centro-Oeste;Brasil;Centro-Oeste;;;840265;Parda;3;Estadual;2;Educação Básica;Educação Básica
Centro-Oeste;Brasil;Centro-Oeste;;;12647;Parda;3;Federal;1;Educação Básica;Educação Básica
Centro-Oeste;Brasil;Centro-Oeste;;;830459;Parda;3;Municipal;3;Educação Básica;Educação Básica
Centro-Oeste;Brasil;Centro-Oeste;;;210674;Parda;3;Privada;4;Educação Básica;Educação Básica
Centro-Oeste;Brasil;Centro-Oeste;;;53391;Preta;2;Estadual;2;Educação Básica;Educação Básica
Centro-Oeste;Brasil;Centro-Oeste;;;1399;Preta;2;Federal;1;Educação Básica;Educação Básica
Centro-Oeste;Brasil;Centro-Oeste;;;52060;Preta;2;Municipal;3;Educação Básica;Educação Básica
Centro-Oeste;Brasil;Centro-Oeste;;;13769;Preta;2;Privada;4;Educação Básica;Educação Básica
Nordeste;Brasil;Nordeste;;;11548;Amarela;4;Estadual;2;Educação Básica;Educação Básica
Nordeste;Brasil;Nordeste;;;884;Amarela;4;Federal;1;Educação Básica;Educação Básica
Nordeste;Brasil;Nordeste;;;33229;Amarela;4;Municipal;3;Educação Básica;Educação Básica
Nordeste;Brasil;Nordeste;;;10830;Amarela;4;Privada;4;Educação Básica;Educação Básica
Nordeste;Brasil;Nordeste;;;369033;Branca;1;Estadual;2;Educação Básica;Educação Básica
Nordeste;Brasil;Nordeste;;;26500;Branca;1;Federal;1;Educação Básica;Educação Básica
Nordeste;Brasil;Nordeste;;;1044757;Branca;1;Municipal;3;Educação Básica;Educação Básica
Nordeste;Brasil;Nordeste;;;521245;Branca;1;Privada;4;Educação Básica;Educação Básica
Nordeste;Brasil;Nordeste;;;49350;Indígena;5;Estadual;2;Educação Básica;Educação Básica
Nordeste;Brasil;Nordeste;;;395;Indígena;5;Federal;1;Educação Básica;Educação Básica
Nordeste;Brasil;Nordeste;;;41530;Indígena;5;Municipal;3;Educação Básica;Educação Básica
Nordeste;Brasil;Nordeste;;;2657;Indígena;5;Privada;4;Educação Básica;Educação Básica
Nordeste;Brasil;Nordeste;;;382306;Não declarada;10;Estadual;2;Educação Básica;Educação Básica
Nordeste;Brasil;Nordeste;;;26482;Não declarada;10;Federal;1;Educação Básica;Educação Básica
Nordeste;Brasil;Nordeste;;;1451482;Não declarada;10;Municipal;3;Educação Básica;Educação Básica
Nordeste;Brasil;Nordeste;;;908339;Não declarada;10;Privada;4;Educação Básica;Educação Básica
Nordeste;Brasil;Nordeste;;;1800850;Parda;3;Estadual;2;Educação Básica;Educação Básica
Nordeste;Brasil;Nordeste;;;69521;Parda;3;Federal;1;Educação Básica;Educação Básica
Nordeste;Brasil;Nordeste;;;5058281;Parda;3;Municipal;3;Educação Básica;Educação Básica
Nordeste;Brasil;Nordeste;;;966235;Parda;3;Privada;4;Educação Básica;Educação Básica
Nordeste;Brasil;Nordeste;;;197222;Preta;2;Estadual;2;Educação Básica;Educação Básica
Nordeste;Brasil;Nordeste;;;7469;Preta;2;Federal;1;Educação Básica;Educação Básica
Nordeste;Brasil;Nordeste;;;416469;Preta;2;Municipal;3;Educação Básica;Educação Básica
Nordeste;Brasil;Nordeste;;;78189;Preta;2;Privada;4;Educação Básica;Educação Básica
Norte;Brasil;Norte;;;3483;Amarela;4;Estadual;2;Educação Básica;Educação Básica
Norte;Brasil;Norte;;;135;Amarela;4;Federal;1;Educação Básica;Educação Básica
Norte;Brasil;Norte;;;6486;Amarela;4;Municipal;3;Educação Básica;Educação Básica
Norte;Brasil;Norte;;;1686;Amarela;4;Privada;4;Educação Básica;Educação Básica
Norte;Brasil;Norte;;;158229;Branca;1;Estadual;2;Educação Básica;Educação Básica
Norte;Brasil;Norte;;;7145;Branca;1;Federal;1;Educação Básica;Educação Básica
Norte;Brasil;Norte;;;257060;Branca;1;Municipal;3;Educação Básica;Educação Básica
Norte;Brasil;Norte;;;102204;Branca;1;Privada;4;Educação Básica;Educação Básica
Norte;Brasil;Norte;;;64777;Indígena;5;Estadual;2;Educação Básica;Educação Básica
Norte;Brasil;Norte;;;1343;Indígena;5;Federal;1;Educação Básica;Educação Básica
Norte;Brasil;Norte;;;116677;Indígena;5;Municipal;3;Educação Básica;Educação Básica
Norte;Brasil;Norte;;;1312;Indígena;5;Privada;4;Educação Básica;Educação Básica
Norte;Brasil;Norte;;;355967;Não declarada;10;Estadual;2;Educação Básica;Educação Básica
Norte;Brasil;Norte;;;7065;Não declarada;10;Federal;1;Educação Básica;Educação Básica
Norte;Brasil;Norte;;;574005;Não declarada;10;Municipal;3;Educação Básica;Educação Básica
Norte;Brasil;Norte;;;148061;Não declarada;10;Privada;4;Educação Básica;Educação Básica
Norte;Brasil;Norte;;;949423;Parda;3;Estadual;2;Educação Básica;Educação Básica
Norte;Brasil;Norte;;;24972;Parda;3;Federal;1;Educação Básica;Educação Básica
Norte;Brasil;Norte;;;1662531;Parda;3;Municipal;3;Educação Básica;Educação Básica
Norte;Brasil;Norte;;;219830;Parda;3;Privada;4;Educação Básica;Educação Básica
Norte;Brasil;Norte;;;36678;Preta;2;Estadual;2;Educação Básica;Educação Básica
Norte;Brasil;Norte;;;1374;Preta;2;Federal;1;Educação Básica;Educação Básica
Norte;Brasil;Norte;;;69255;Preta;2;Municipal;3;Educação Básica;Educação Básica
Norte;Brasil;Norte;;;7871;Preta;2;Privada;4;Educação Básica;Educação Básica
Sudeste;Brasil;Sudeste;;;18965;Amarela;4;Estadual;2;Educação Básica;Educação Básica
Sudeste;Brasil;Sudeste;;;552;Amarela;4;Federal;1;Educação Básica;Educação Básica
Sudeste;Brasil;Sudeste;;;23519;Amarela;4;Municipal;3;Educação Básica;Educação Básica
Sudeste;Brasil;Sudeste;;;26237;Amarela;4;Privada;4;Educação Básica;Educação Básica
Sudeste;Brasil;Sudeste;;;2515632;Branca;1;Estadual;2;Educação Básica;Educação Básica
Sudeste;Brasil;Sudeste;;;52834;Branca;1;Federal;1;Educação Básica;Educação Básica
Sudeste;Brasil;Sudeste;;;3241795;Branca;1;Municipal;3;Educação Básica;Educação Básica
Sudeste;Brasil;Sudeste;;;2342576;Branca;1;Privada;4;Educação Básica;Educação Básica
Sudeste;Brasil;Sudeste;;;19689;Indígena;5;Estadual;2;Educação Básica;Educação Básica
Sudeste;Brasil;Sudeste;;;149;Indígena;5;Federal;1;Educação Básica;Educação Básica
Sudeste;Brasil;Sudeste;;;9485;Indígena;5;Municipal;3;Educação Básica;Educação Básica
Sudeste;Brasil;Sudeste;;;3972;Indígena;5;Privada;4;Educação Básica;Educação Básica
Sudeste;Brasil;Sudeste;;;966612;Não declarada;10;Estadual;2;Educação Básica;Educação Básica
Sudeste;Brasil;Sudeste;;;14969;Não declarada;10;Federal;1;Educação Básica;Educação Básica
Sudeste;Brasil;Sudeste;;;1227799;Não declarada;10;Municipal;3;Educação Básica;Educação Básica
Sudeste;Brasil;Sudeste;;;1200262;Não declarada;10;Privada;4;Educação Básica;Educação Básica
Sudeste;Brasil;Sudeste;;;2225450;Parda;3;Estadual;2;Educação Básica;Educação Básica
Sudeste;Brasil;Sudeste;;;38409;Parda;3;Federal;1;Educação Básica;Educação Básica
Sudeste;Brasil;Sudeste;;;2930706;Parda;3;Municipal;3;Educação Básica;Educação Básica
Sudeste;Brasil;Sudeste;;;825937;Parda;3;Privada;4;Educação Básica;Educação Básica
Sudeste;Brasil;Sudeste;;;316666;Preta;2;Estadual;2;Educação Básica;Educação Básica
