TP_DEPENDENCIA,TP_LOCALIZACAO,IN_INTERNET_ALUNOS,QT_TABLET_ALUNO,IN_LABORATORIO_INFORMATICA,IN_BIBLIOTECA,IN_ALIMENTACAO,IN_REFEITORIO,IN_AGUA_POTAVEL,IN_ENERGIA_REDE_PUBLICA,IN_ESGOTO_REDE_PUBLICA,IN_BANHEIRO,IN_QUADRA_ESPORTES
4,1,1,11,1,1,0,0,1,1,0,1,0
4,1,1,0,1,1,0,0,1,1,0,1,0
4,1,1,0,1,0,0,0,1,1,0,1,0
4,1,1,0,1,1,0,0,1,1,0,1,0
4,1,1,6,1,0,0,0,1,1,0,1,0
4,1,1,0,1,1,0,0,1,1,0,1,0
4,1,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0
4,1,1,0,1,1,0,0,1,1,0,1,0
4,1,0,1,1,1,0,0,1,1,1,1,0
4,1,1,0,1,1,0,0,1,1,1,1,0
4,1,1,0,1,1,0,0,1,1,1,1,1
4,1,0,0,1,0,0,0,1,1,1,1,0
4,1,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0
4,1,1,6,1,1,0,0,1,1,1,1,0
4,1,1,5,1,1,0,1,1,1,1,1,1
4,1,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0
4,1,1,2,1,1,0,1,1,1,1,1,0
4,1,0,0,1,1,0,0,1,1,1,1,0
4,1,1,0,1,1,0,0,1,1,1,1,0
4,1,1,0,1,1,0,0,1,1,1,1,0
4,1,1,0,1,1,0,0,1,1,1,1,0
4,1,1,0,0,1,0,0,1,1,1,1,0
4,1,0,0,1,1,0,0,1,1,1,1,0
4,1,1,0,1,0,0,0,1,1,0,1,0
4,1,1,0,1,1,0,0,1,1,1,1,0
4,1,1,0,1,1,0,0,1,1,1,1,0
4,1,1,1,1,1,0,0,1,1,1,1,0
4,1,0,0,0,1,0,0,1,1,1,1,0
4,1,1,0,1,1,0,0,1,1,1,1,0
4,1,1,0,1,1,0,0,1,1,1,1,0
4,1,1,0,1,1,0,0,1,1,1,1,0
4,1,1,0,1,1,0,0,1,1,1,1,0
4,1,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0
4,1,1,0,1,1,0,0,1,1,1,1,0
4,1,1,0,1,1,0,0,1,1,1,1,0
4,1,1,2,1,1,0,0,1,1,1,1,0
4,1,1,0,1,1,0,0,1,1,1,1,0
4,1,0,0,0,0,0,0,0,0,0,0,0
4,1,1,0,1,1,0,0,1,1,1,1,0
4,1,1,0,1,1,0,0,1,1,1,1,0
4,1,1,0,1,1,0,0,1,1,1,1,0
4,1,1,0,1,1,0,0,1,1,1,1,0
3,1,0,0,0,0,0,0,0,0,0,0,0
4,1,1,0,1,1,0,0,1,1,1,1,0
4,1,1,0,1,1,0,0,1,1,1,1,0
4,1,0,0,1,1,0,0,1,1,1,1,0
4,1,1,1,1,1,0,0,1,1,1,1,0
4,1,1,0,1,1,0,0,1,1,1,1,0
4,1,0,0,1,1,0,0,1,1,1,1,0
4,1,1,0,1,1,0,0,1,1,1,1,0
4,1,0,0,0,0,0,0,0,0,0,0,0
4,1,1,0,1,1,0,0,1,1,1,1,0
4,1,1,0,1,1,0,0,0,1,1,1,0
4,1,1,0,1,1,0,0,1,1,1,1,0
4,1,1,0,1,1,0,0,1,1,1,1,0
4,1,1,1,1,1,0,0,1,1,1,1,0
4,1,0,0,0,0,0,0,0,0,0,0,0
