NO_REGIAO,NO_UF,NO_MUNICIPIO,NO_ENTIDADE,IN_INTERNET_ALUNOS,QT_TABLET_ALUNO,IN_LABORATORIO_INFORMATICA,IN_BIBLIOTECA,IN_ALIMENTACAO,IN_REFEITORIO,IN_AGUA_POTAVEL,IN_ENERGIA_REDE_PUBLICA,IN_ESGOTO_REDE_PUBLICA,IN_BANHEIRO,IN_QUADRA_ESPORTES
Norte,Rondônia,Ariquemes,SENAC ARIQUEMES,Sim,11.0,Sim,Não,Não,Não,Sim,Sim,Não,Sim,Não
Norte,Rondônia,Cacoal,SENAC-CACOAL-RO,Sim,5.0,Sim,Sim,Não,Não,Sim,Sim,Não,Sim,Não
Norte,Rondônia,Jaru,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC JARU,Sim,7.0,Sim,Não,Não,Não,Sim,Sim,Não,Sim,Não
Norte,Rondônia,Ji-Paraná,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC JI-PARANA,Sim,11.0,Sim,Sim,Não,Não,Sim,Sim,Não,Sim,Não
Norte,Rondônia,Pimenta Bueno,CENTRO DE EDUCACAO PROFISSIONAL SENAC PIMENTA BUENO,Sim,0.0,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Não
Norte,Rondônia,Porto Velho,CENTRO DE EDUCACAO PROFISSIONAL SENAC ESPLANADA,Sim,0.0,Sim,Sim,Não,Não,Sim,Sim,Não,Sim,Não
Norte,Rondônia,Vilhena,SENAC VILHENA,Sim,0.0,Sim,Sim,Não,Não,Sim,Sim,Não,Sim,Não
Norte,Amazonas,Manaus,CENTRO DE FORMACAO PROFISSIONAL FERNANDO ALFREDO PEQUENO FRANCO - SENAC,Sim,1.0,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Não
Norte,Roraima,Boa Vista,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC,Sim,0.0,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Não
Norte,Pará,Barcarena,NUCLEO DE EDUCACAO PROFISSIONAL DE BARCARENA - SENAC,Sim,14.0,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Não
Norte,Pará,Belém,CENTRO DE EDUCACAO PROFISSIONAL PROFESSOR RAYMUNDO ALBERTO PAPALEO PAES - SENAC,Sim,7.0,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Não
Norte,Amapá,Macapá,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC DRAP,Sim,0.0,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim
Nordeste,Maranhão,Pinheiro,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL SENAC,Sim,0.0,Sim,Sim,Não,Não,Sim,Sim,Não,Sim,Não
Nordeste,Ceará,Crato,CENTRO DE EDUCACAO PROFISSIONAL DE CRATO - SENAC,Sim,6.0,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Não
Nordeste,Ceará,Sobral,CENTRO DE EDUCACAO PROFISSIONAL DE SOBRAL - SENAC,Sim,6.0,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim
Nordeste,Rio Grande do Norte,Natal,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC ZONA SUL,Sim,88888.0,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Não
Nordeste,Rio Grande do Norte,Natal,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC CENTRO,Sim,31.0,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não
Nordeste,Rio Grande do Norte,Natal,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC ALECRIM,Sim,0.0,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não
Nordeste,Rio Grande do Norte,Natal,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC ZONA NORTE,Sim,0.0,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Não
Nordeste,Rio Grande do Norte,Natal,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC BARREIRA ROXA,Sim,0.0,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não
Nordeste,Pernambuco,Caruaru,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL SENAC,Não,0.0,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Não
Nordeste,Pernambuco,Garanhuns,SENAC CENTRO DE FOR PROFS JOSE HENRIQUE DE BARROS,Sim,0.0,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Não
Nordeste,Pernambuco,Paulista,SENAC CENTRO DE FORMACAO PROFISSIONAL DO PAULISTA,Sim,0.0,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Não
Nordeste,Pernambuco,Petrolina,SENAC-SERVICO NACIONAL DE APREDIZAGEM COMERCIAL,Sim,0.0,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Não
Nordeste,Pernambuco,Serra Talhada,CEP SENAC SERRA TALHADA,Sim,2.0,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não
Nordeste,Pernambuco,Vitória de Santo Antão,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC,Sim,1.0,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Não
Nordeste,Alagoas,Arapiraca,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC - AGRESTE,Sim,0.0,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,Não
Nordeste,Alagoas,Maceió,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL SENAC AL - UNIDADE CARLOS MILITO,Sim,0.0,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Não
Nordeste,Alagoas,Maceió,SENAC SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL CENTRO INTEGRADO DE HOTELARIA E TURISMO,Sim,0.0,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Não
Nordeste,Sergipe,Aracaju,SENAC - CENTRO DE EDUCACAO PROFISSIONAL PROFESSOR CARLOS ALBERTO SAMPAIO,Não,0.0,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Não
Nordeste,Sergipe,Itabaiana,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC ITABAIANA,Não,0.0,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Não
Nordeste,Sergipe,Lagarto,SENAC - SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - LAGARTO,Não,0.0,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Não
Nordeste,Sergipe,Nossa Senhora da Glória,SENAC- CENTRO DE EDUCACAO PROFISSIONAL MARIA JOSE DOS SANTOS,Sim,0.0,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Não
Nordeste,Sergipe,Propriá,CENTRO DE EDUCACAO PROFISSIONAL JOSE MARCOS DE ANDRADE - SENAC,Não,0.0,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Não
Nordeste,Sergipe,Tobias Barreto,CENTRO DE EDUCACAO PROFISSIONAL JOSAFA RIBEIRO DE ALMEIDA - SENAC,Não,0.0,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Não
Nordeste,Bahia,Porto Seguro,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC PORTO SEGURO,Sim,6.0,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Não
