nu_ano_censo;no_regiao;sg_uf;no_municipio;no_entidade;qt_mat_bas;dt_ano_letivo_inicio
2024;Norte;RO;Ariquemes;SENAC ARIQUEMES;56.0;2024-01-22
2024;Norte;RO;Cacoal;SENAC-CACOAL-RO;196.0;2024-01-22
2024;Norte;RO;Jaru;SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC JARU;109.0;2024-01-22
2024;Norte;RO;Ji-Paraná;SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC JI-PARANA;54.0;2024-01-22
2024;Norte;RO;Pimenta Bueno;CENTRO DE EDUCACAO PROFISSIONAL SENAC PIMENTA BUENO;75.0;2024-01-22
2024;Norte;RO;Porto Velho;CENTRO DE EDUCACAO PROFISSIONAL SENAC ESPLANADA;210.0;2024-01-22
2024;Norte;RO;Vilhena;SENAC VILHENA;34.0;2024-01-22
2024;Norte;AM;Manaus;CENTRO DE FORMACAO PROFISSIONAL FERNANDO ALFREDO PEQUENO FRANCO - SENAC;78.0;2024-01-31
2024;Norte;RR;Boa Vista;SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC;264.0;2024-02-05
2024;Norte;PA;Barcarena;NUCLEO DE EDUCACAO PROFISSIONAL DE BARCARENA - SENAC;73.0;2024-01-02
2024;Norte;PA;Belém;CENTRO DE EDUCACAO PROFISSIONAL PROFESSOR RAYMUNDO ALBERTO PAPALEO PAES - SENAC;133.0;2024-01-02
2024;Norte;AP;Macapá;SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC DRAP;163.0;2024-01-02
2024;Nordeste;MA;Pinheiro;SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL SENAC;97.0;2024-01-02
2024;Nordeste;CE;Crato;CENTRO DE EDUCACAO PROFISSIONAL DE CRATO - SENAC;217.0;2024-01-02
2024;Nordeste;CE;Sobral;CENTRO DE EDUCACAO PROFISSIONAL DE SOBRAL - SENAC;12.0;2024-03-20
2024;Nordeste;RN;Natal;SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC ZONA SUL;16.0;2024-01-02
2024;Nordeste;RN;Natal;SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC CENTRO;165.0;2024-01-02
2024;Nordeste;RN;Natal;SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC ALECRIM;26.0;2024-01-02
2024;Nordeste;RN;Natal;SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC ZONA NORTE;49.0;2024-01-02
