ano,unidade_geografica,regiao,localizacao,dependencia_administrativa,grupo_de_abandono,taxa_abandono,renda_media
2013,Norte,Brasil,Total,Total,Ensino Fundamental,4.0,2252
2013,Norte,Brasil,Total,Pública,Ensino Fundamental,4.3,2252
2013,Norte,Brasil,Total,Privada,Ensino Fundamental,0.3,2252
2013,Norte,Brasil,Total,Municipal,Ensino Fundamental,4.3,2252
2013,Norte,Brasil,Total,Federal,Ensino Fundamental,0.0,2252
2013,Norte,Brasil,Total,Estadual,Ensino Fundamental,4.4,2252
2013,Norte,Brasil,Rural,Total,Ensino Fundamental,5.7,2252
2013,Norte,Brasil,Rural,Pública,Ensino Fundamental,5.7,2252
2013,Norte,Brasil,Rural,Privada,Ensino Fundamental,1.8,2252
2013,Norte,Brasil,Rural,Municipal,Ensino Fundamental,5.6,2252
2013,Norte,Brasil,Rural,Estadual,Ensino Fundamental,5.7,2252
2013,Norte,Brasil,Urbana,Total,Ensino Fundamental,3.3,2252
2013,Norte,Brasil,Urbana,Pública,Ensino Fundamental,3.6,2252
2013,Norte,Brasil,Urbana,Privada,Ensino Fundamental,0.3,2252
2013,Norte,Brasil,Urbana,Municipal,Ensino Fundamental,3.3,2252
2013,Norte,Brasil,Urbana,Federal,Ensino Fundamental,0.0,2252
2013,Norte,Brasil,Urbana,Estadual,Ensino Fundamental,4.1,2252
2013,Nordeste,Brasil,Total,Total,Ensino Fundamental,3.7,1976
2013,Nordeste,Brasil,Total,Pública,Ensino Fundamental,4.3,1976
2013,Nordeste,Brasil,Total,Privada,Ensino Fundamental,0.4,1976
2013,Nordeste,Brasil,Total,Municipal,Ensino Fundamental,4.0,1976
2013,Nordeste,Brasil,Total,Federal,Ensino Fundamental,0.2,1976
2013,Nordeste,Brasil,Total,Estadual,Ensino Fundamental,5.7,1976
2013,Nordeste,Brasil,Rural,Total,Ensino Fundamental,3.6,1976
2013,Nordeste,Brasil,Rural,Pública,Ensino Fundamental,3.7,1976
2013,Nordeste,Brasil,Rural,Privada,Ensino Fundamental,1.3,1976
2013,Nordeste,Brasil,Rural,Municipal,Ensino Fundamental,3.6,1976
2013,Nordeste,Brasil,Rural,Federal,Ensino Fundamental,1.0,1976
2013,Nordeste,Brasil,Rural,Estadual,Ensino Fundamental,5.5,1976
2013,Nordeste,Brasil,Urbana,Total,Ensino Fundamental,3.7,1976
2013,Nordeste,Brasil,Urbana,Pública,Ensino Fundamental,4.6,1976
2013,Nordeste,Brasil,Urbana,Privada,Ensino Fundamental,0.4,1976
2013,Nordeste,Brasil,Urbana,Municipal,Ensino Fundamental,4.2,1976
