ano;sigla_uf;rede;diretoria;id_municipio;prop_aprovados_anos_inciais_ef;prop_reprovados_anos_iniciais_ef;prop_abandono_anos_iniciais_ef;prop_aprovados_anos_finais_ef;prop_reprovados_anos_finais_ef;prop_abandono_anos_finais_ef;prop_aprovados_em;prop_reprovados_em;prop_abandono_em
2011;SP;;;3500105;0;0;0;8.870.863;109.669;0.3244646;8.063.611;1.936.389;0
2011;SP;;;3514403;0;0;0;90;6.643.836;3.356.164;7.943.989;114.071;9.153.006
2011;SP;;;3515806;0;0;0;0;0;0;989.011;1.098.901;0
2011;SP;;;3516002;0;0;0;8.952.879;6.544.503;3.926.702;7.683.983;1.082.251;1.233.766
2011;SP;;;3520806;0;0;0;9.876.543;1.234.568;0;8.618.421;1.381.579;0
2011;SP;;;3521606;0;0;0;9.171.429;8;0.2857143;9.414.226;502.092;0.8368201
2011;SP;;;3526001;0;0;0;9.543.307;4.566.929;0;9.387.755;6.122.449;0
2011;SP;;;3527405;0;0;0;821.656;1.677.282;1.061.571;6.062.992;3.763.779;1.732.283
2011;SP;;;3528908;0;0;0;9.411.765;5.882.353;0;8.938.053;1.061.947;0
2011;SP;;;3531605;0;0;0;974.138;2.586.207;0;9.642.857;3.571.429;0
2011;SP;;;3533106;0;0;0;9.383.562;3.424.658;2.739.726;7.906.977;9.302.325;1.162.791
2011;SP;;;3534609;0;0;0;9.449.185;4.499.612;1.008.534;8.615.752;127.685;1.073.986
2011;SP;;;3534807;0;0;0;0;0;0;9.391.026;6.089.744;0
2011;SP;;;3534906;0;0;0;8.904.348;7.826.087;3.130.435;7.887.701;1.042.781;1.069.519
2011;SP;;;3535408;0;0;0;8.683.958;7.588.857;5.571.566;7.947.883;1.058.632;9.934.854
2011;SP;;;3536406;0;0;0;8.780.991;8.471.074;3.719.008;8.469.055;7.491.857;781.759
2011;SP;;;3540853;0;0;0;987.013;1.298.701;0;9.365.079;6.349.206;0
2011;SP;;;3544707;0;0;0;9.281.437;7.185.629;0;8.770.492;1.229.508;0
2011;SP;;;3545100;0;0;0;9.562.682;3.790.087;0.5830904;8.932.039;4.854.369;5.825.243
2011;SP;;;3547106;0;0;0;9.893.617;106.383;0;875.817;6.535.948;5.882.353
2011;SP;;;3549300;0;0;0;100;0;0;9.473.684;2.105.263;3.157.895
2011;SP;;;3555109;0;0;0;0;0;0;8.851.064;2.340.425;9.148.936
2011;SP;;;3501608;9.426.801;5.577.072;0.1549187;9.204.206;5.634.169;232.377;7.926.773;1.404.295;6.689.325
2011;SP;;;3533403;0;0;0;9.287.671;3.972.603;3.150.685;8.257.858;9.323.388;8.098.029
2011;SP;;;3545803;9.496.503;5.034.965;0;9.306.123;5.102.041;1.836.735;8.255.602;1.057.261;6.871.369
2011;SP;;;3502101;0;0;0;8.998.888;7.230.256;2.780.868;8.547.242;9.339.159;5.188.422
2011;SP;;;3511003;0;0;0;9.284.314;5;2.156.863;8.352.941;1.220.588;4.264.706
2011;SP;;;3517802;0;0;0;8.463.251;1.336.303;2.004.454;8.426.966;8.988.764;6.741.573
2011;SP;;;3520442;0;0;0;9.374.464;428.449;1.970.865;6.093.535;2.558.459;1.348.005
2011;SP;;;3523008;0;0;0;8.987.342;8.227.848;1.898.734;84.375;10.625;5
2011;SP;;;3526506;0;0;0;0;0;0;8.857.143;7.428.571;4
2011;SP;;;3530102;0;0;0;9.636.533;2.702.703;0.9319664;9.350.133;464.191;1.856.764
2011;SP;;;3532108;0;0;0;9.570.313;4.296.875;0;9.105.691;8.943.089;0
2011;SP;;;3533205;0;0;0;0;0;0;8.994.083;887.574;1.183.432
