ANO_LETIVO;NM_DIRETORIA;NM_MUNICIPIO;CD_REDE_ENSINO;APR_1;REP_1;ABA_1;APR_2;REP_2;ABA_2;APR_3;REP_3;ABA_3
2024;ADAMANTINA;ADAMANTINA;1;0;0;0;100;0;0;98,53;1,47;0
2024;JOSE BONIFACIO;ADOLFO;1;0;0;0;0;0;0;100;0;0
2024;SAO JOAO DA BOA VISTA;AGUAI;1;100;0;0;98,85;1,15;0;94,04;5,96;0
2024;SAO JOAO DA BOA VISTA;AGUAS DA PRATA;1;0;0;0;97,86;2,14;0;100;0;0
2024;MOGI MIRIM;AGUAS DE LINDOIA;1;100;0;0;98,95;1,05;0;97,78;2,22;0
2024;AVARE;AGUAS DE SANTA BARBARA;1;0;0;0;96,74;3,26;0;96,43;3,57;0
2024;PIRACICABA;AGUAS DE SAO PEDRO;1;0;0;0;0;0;0;98,65;1,35;0
2024;BAURU;AGUDOS;1;0;0;0;98,55;1,45;0;97,28;2,72;0
2024;ITAPETININGA;ALAMBARI;1;0;0;0;99,67;0,33;0;100;0;0
2024;PRESIDENTE PRUDENTE;ALFREDO MARCONDES;1;99,55;0,45;0;99,01;0,99;0;95,45;4,55;0
2024;BARRETOS;ALTAIR;1;0;0;0;98,25;1,75;0;94,62;5,38;0
2024;RIBEIRAO PRETO;ALTINOPOLIS;1;0;0;0;99,68;0,32;0;98,2;1,8;0
2024;PENAPOLIS;ALTO ALEGRE;1;0;0;0;100;0;0;100;0;0
2024;SAO ROQUE;ALUMINIO;1;0;0;0;0;0;0;98,8;1,2;0
2024;VOTUPORANGA;ALVARES FLORENCE;1;0;0;0;100;0;0;100;0;0
2024;PRESIDENTE PRUDENTE;ALVARES MACHADO;1;0;0;0;0;0;0;95,81;4,19;0
2024;MARILIA;ALVARO DE CARVALHO;1;0;0;0;99,4;0,6;0;100;0;0
2024;MARILIA;ALVINLANDIA;1;0;0;0;100;0;0;100;0;0
2024;AMERICANA;AMERICANA;1;99,84;0,16;0;98,26;1,74;0;94,46;5,54;0
2024;ARARAQUARA;AMERICO BRASILIENSE;1;0;0;0;99,28;0,72;0;99,04;0,96;0
2024;VOTUPORANGA;AMERICO DE CAMPOS;1;0;0;0;100;0;0;100;0;0
2024;MOGI MIRIM;AMPARO;1;99,62;0,38;0;98,82;1,18;0;96,04;3,96;0
2024;PIRASSUNUNGA;ANALANDIA;1;0;0;0;0;0;0;100;0;0
2024;ANDRADINA;ANDRADINA;1;0;0;0;98,29;1,71;0;95,97;4,03;0
2024;ITAPETININGA;ANGATUBA;1;0;0;0;100;0;0;98,43;1,57;0
2024;BOTUCATU;ANHEMBI;1;0;0;0;0;0;0;88,02;11,98;0
2024;PRESIDENTE PRUDENTE;ANHUMAS;1;0;0;0;98,88;1,12;0;96;4;0
2024;GUARATINGUETA;APARECIDA;1;0;0;0;0;0;0;94,35;5,65;0
2024;JALES;APARECIDA D'OESTE;1;0;0;0;97,63;2,37;0;87,1;12,9;0
2024;APIAI;APIAI;1;100;0;0;99,92;0,08;0;99,14;0,86;0
2024;SAO ROQUE;ARACARIGUAMA;1;0;0;0;0;0;0;99,74;0,26;0
2024;ARACATUBA;ARACATUBA;1;0;0;0;99,47;0,53;0;98,61;1,39;0
2024;VOTORANTIM;ARACOIABA DA SERRA;1;0;0;0;0;0;0;99,23;0,77;0
2024;SAO JOAQUIM DA BARRA;ARAMINA;1;0;0;0;98,31;1,69;0;98,47;1,53;0
2024;AVARE;ARANDU;1;0;0;0;99,42;0,58;0;96,74;3,26;0
2024;GUARATINGUETA;ARAPEI;1;0;0;0;0;0;0;95,88;4,12;0
2024;ARARAQUARA;ARARAQUARA;1;99,98;0,02;0;99,14;0,86;0;97,85;2,15;0
2024;PIRASSUNUNGA;ARARAS;1;99,61;0,39;0;98,36;1,64;0;96,44;3,56;0
2024;TUPA;ARCO-IRIS;1;100;0;0;96,97;3,03;0;100;0;0
2024;BAURU;AREALVA;1;0;0;0;98,59;1,41;0;96,62;3,38;0
2024;GUARATINGUETA;AREIAS;1;0;0;0;0;0;0;95,42;4,58;0
2024;BOTUCATU;AREIOPOLIS;1;0;0;0;0;0;0;98,53;1,47;0
2024;CATANDUVA;ARIRANHA;1;0;0;0;99,38;0,62;0;100;0;0
2024;LIMEIRA;ARTUR NOGUEIRA;1;0;0;0;100;0;0;99,87;0,13;0
2024;JACAREI;ARUJA;1;0;0;0;98,7;1,3;0;91,49;8,51;0
2024;JALES;ASPASIA;1;100;0;0;98,9;1,1;0;93,62;6,38;0
2024;ASSIS;ASSIS;1;0;0;0;97,85;2,15;0;96,23;3,77;0
2024;BRAGANCA PAULISTA;ATIBAIA;1;100;0;0;100;0;0;100;0;0
2024;JALES;AURIFLAMA;1;0;0;0;97,41;2,59;0;98,46;1,54;0
2024;BAURU;AVAI;1;94,12;5,88;0;99,61;0,39;0;99,4;0,6;0
2024;PENAPOLIS;AVANHANDAVA;1;0;0;0;99,81;0,19;0;98,25;1,75;0
2024;AVARE;AVARE;1;0;0;0;97,01;2,99;0;95,26;4,74;0
2024;SAO JOSE DO RIO PRETO;BADY BASSITT;1;0;0;0;100;0;0;93,92;6,08;0
2024;BAURU;BALBINOS;1;0;0;0;100;0;0;100;0;0
2024;JOSE BONIFACIO;BALSAMO;1;0;0;0;99,53;0,47;0;100;0;0
2024;GUARATINGUETA;BANANAL;1;0;0;0;0;0;0;90,81;9,19;0
2024;ITARARE;BARAO DE ANTONINA;1;100;0;0;99,46;0,54;0;100;0;0
2024;PENAPOLIS;BARBOSA;1;0;0;0;100;0;0;100;0;0
2024;JAU;BARIRI;1;0;0;0;96,44;3,56;0;90,05;9,95;0
2024;JAU;BARRA BONITA;1;0;0;0;99,53;0,47;0;99,74;0,26;0
2024;APIAI;BARRA DO CHAPEU;1;0;0;0;100;0;0;100;0;0
2024;REGISTRO;BARRA DO TURVO;1;0;0;0;98,5;1,5;0;99,31;0,69;0
2024;BARRETOS;BARRETOS;1;0;0;0;98,79;1,21;0;95,59;4,41;0
2024;SERTAOZINHO;BARRINHA;1;0;0;0;0;0;0;97,95;2,05;0
2024;ITAPEVI;BARUERI;1;0;0;0;0;0;0;95,84;4,16;0
2024;TUPA;BASTOS;1;0;0;0;99,9;0,1;0;99,26;0,74;0
2024;RIBEIRAO PRETO;BATATAIS;1;99,66;0,34;0;98,48;1,52;0;95,33;4,67;0
2024;BAURU;BAURU;1;99,39;0,61;0;97,02;2,9;0,08;92,24;7,28;0,48
2024;JABOTICABAL;BEBEDOURO;1;0;0;0;98,04;1,96;0;97,72;2,28;0
2024;ARACATUBA;BENTO DE ABREU;1;0;0;0;96,43;3,57;0;100;0;0
2024;OURINHOS;BERNARDINO DE CAMPOS;1;0;0;0;99,37;0,63;0;97,93;2,07;0
2024;SANTOS;BERTIOGA;1;0;0;0;96,99;3,01;0;96;4;0
2024;BIRIGUI;BILAC;1;0;0;0;100;0;0;100;0;0
