Municipio;Porcentagem de abandono - Ensino fundamental - Anos Iniciais;Porcentagem de abandono - Ensino fundamental - Anos Finais;Porcentagem de abandono - Ensino Médio
ADAMANTINA;0;0;0
ADOLFO;0;0;0
AGUAI;0;0;0
AGUAS DA PRATA;0;0;0
AGUAS DE LINDOIA;0;0;0
AGUAS DE SANTA BARBARA;0;0;0
AGUAS DE SAO PEDRO;0;0;0
AGUDOS;0;0;0
ALAMBARI;0;0;0
ALFREDO MARCONDES;0;0;0
ALTAIR;0;0;0
ALTINOPOLIS;0;0;0
ALTO ALEGRE;0;0;0
ALUMINIO;0;0;0
ALVARES FLORENCE;0;0;0
ALVARES MACHADO;0;0;0
ALVARO DE CARVALHO;0;0;0
ALVINLANDIA;0;0;0
AMERICANA;0;0;0
AMERICO BRASILIENSE;0;0;0
AMERICO DE CAMPOS;0;0;0
AMPARO;0;0;0
ANALANDIA;0;0;0
ANDRADINA;0;0;0
ANGATUBA;0;0;0
ANHEMBI;0;0;0
ANHUMAS;0;0;0
APARECIDA;0;0;0
APARECIDA D'OESTE;0;0;0
APIAI;0;0;0
ARACARIGUAMA;0;0;0
ARACATUBA;0;0;0
ARACOIABA DA SERRA;0;0;0
ARAMINA;0;0;0
ARANDU;0;0;0
ARAPEI;0;0;0
ARARAQUARA;0;0;0
ARARAS;0;0;0
ARCO-IRIS;0;0;0
AREALVA;0;0;0
AREIAS;0;0;0
AREIOPOLIS;0;0;0
ARIRANHA;0;0;0
ARTUR NOGUEIRA;0;0;0
ARUJA;0;0;0
ASPASIA;0;0;0
ASSIS;0;0;0
ATIBAIA;0;0;0
AURIFLAMA;0;0;0
AVAI;0;0;0
AVANHANDAVA;0;0;0
AVARE;0;0;0
BADY BASSITT;0;0;0
BALBINOS;0;0;0
BALSAMO;0;0;0
BANANAL;0;0;0
BARAO DE ANTONINA;0;0;0
BARBOSA;0;0;0
BARIRI;0;0;0
BARRA BONITA;0;0;0
BARRA DO CHAPEU;0;0;0
BARRA DO TURVO;0;0;0
BARRETOS;0;0;0
BARRINHA;0;0;0
BARUERI;0;0;0
BASTOS;0;0;0
BATATAIS;0;0;0
BAURU;0;0,08;0,48
BEBEDOURO;0;0;0
BENTO DE ABREU;0;0;0
BERNARDINO DE CAMPOS;0;0;0
BERTIOGA;0;0;0
BILAC;0;0;0
BIRIGUI;0;0;0
BIRITIBA-MIRIM;0;0;0
BOA ESPERANCA DO SUL;0;0;0
BOCAINA;0;0;0
BOFETE;0;0;0
BOITUVA;0;0;0
BOM JESUS DOS PERDOES;0;0;0
BOM SUCESSO DE ITARARE;0;0;0
BORA;0;0;0
BORACEIA;0;0;0
BORBOREMA;0;0;0
BOREBI;0;0;0
BOTUCATU;0;0;0
