Municipio;Total Abandono Escolar
SAO BERNARDO DO CAMPO;33,92
RINCAO;19,64
SAO JOSE DA BELA VISTA;17,29
NOVA ALIANCA;15,61
DIVINOLANDIA;14,68
PRESIDENTE VENCESLAU;14,26
RIVERSUL;11,26
ALTINOPOLIS;11,18
SERRANA;10,74
MONTEIRO LOBATO;10,49
UCHOA;10,12
SARUTAIA;9,97
SERRA AZUL;9,9
SAO SIMAO;9,87
LINS;9,7
SAO JOSE DO BARREIRO;9,56
CANANEIA;9,24
SILVEIRAS;9,14
ALVARO DE CARVALHO;9,02
CASA BRANCA;8,96
IRAPURU;8,81
RIBEIRAO PRETO;8,8
PIQUEROBI;8,79
GUARANTA;8,78
ITAPIRA;8,63
SABINO;8,46
SAO PEDRO;8,18
NATIVIDADE DA SERRA;8,17
GUAPIACU;8,08
CAPELA DO ALTO;8,05
PLANALTO;8,04
ALVARES MACHADO;7,89
IACANGA;7,89
SAO SEBASTIAO DA GRAMA;7,78
MOGI GUACU;7,7
SANTO ANTONIO DE POSSE;7,54
ITAPIRAPUA PAULISTA;7,46
PANORAMA;7,43
POLONI;7,37
LUIS ANTONIO;7,29
CAPIVARI;7,21
RIO DAS PEDRAS;7,03
ITIRAPUA;6,68
GARCA;6,66
SAO PEDRO DO TURVO;6,51
COTIA;6,48
SAO JOSE DO RIO PARDO;6,37
COSMOPOLIS;6,34
PEDREGULHO;6,31
IGARATA;6,3
VOTORANTIM;6,21
ITARARE;6,07
TIMBURI;6,06
TEJUPA;6,02
SANTA BARBARA D'OESTE;5,93
AVARE;5,92
MONTE MOR;5,89
SANTA LUCIA;5,88
SAO JOAQUIM DA BARRA;5,84
CAMPOS DO JORDAO;5,78
JACUPIRANGA;5,77
HOLAMBRA;5,6
ANHUMAS;5,56
SANTA CRUZ DA CONCEICAO;5,45
RIBEIRAO BONITO;5,35
BAURU;5,31
PARAIBUNA;5,18
SALTO DE PIRAPORA;5,11
SANTA CRUZ DAS PALMEIRAS;5,06
LAVRINHAS;5,05
VARGEM GRANDE DO SUL;5,03
GUARUJA;4,97
NHANDEARA;4,96
BEBEDOURO;4,9
CABRALIA PAULISTA;4,89
CHARQUEADA;4,88
CAJURU;4,84
CHAVANTES;4,8
CATIGUA;4,77
SANTA BRANCA;4,74
CARAPICUIBA;4,65
MOGI MIRIM;4,6
BRODOWSKI;4,52
AREIAS;4,48
ESPIRITO SANTO DO PINHAL;4,48
FERRAZ DE VASCONCELOS;4,43
CAIABU;4,42
ITUPEVA;4,38
VOTUPORANGA;4,23
BATATAIS;4,23
MONTE AZUL PAULISTA;4,17
BERTIOGA;4,16
JABOTICABAL;4,16
CUBATAO;4,08
LIMEIRA;4,08
GUATAPARA;3,97
JARDINOPOLIS;3,96
JANDIRA;3,94
PIRAPORA DO BOM JESUS;3,92
CACONDE;3,88
MACEDONIA;3,88
PRESIDENTE EPITACIO;3,85
MOGI DAS CRUZES;3,81
ARANDU;3,8
VARGEM;3,79
ARUJA;3,79
CORONEL MACEDO;3,77
OSASCO;3,7
MONTE ALTO;3,68
PARANAPANEMA;3,62
CAMPOS NOVOS PAULISTA;3,6
CORDEIROPOLIS;3,59
CRAVINHOS;3,57
RAFARD;3,57
RIFAINA;3,57
BOTUCATU;3,57
MONTE ALEGRE DO SUL;3,55
MARTINOPOLIS;3,52
BARRA DO CHAPEU;3,46
SAO PAULO;3,45
GUARA;3,43
VINHEDO;3,4
TAIACU;3,38
DUARTINA;3,32
ITAPORANGA;3,32
ALVARES FLORENCE;3,31
ALFREDO MARCONDES;3,3
ARACOIABA DA SERRA;3,29
CAMPINAS;3,28
SUZANO;3,27
TAQUARITUBA;3,24
PARDINHO;3,2
ARARAS;3,18
AMERICANA;3,17
LORENA;3,15
AREALVA;3,06
PIRAPOZINHO;3,05
CACAPAVA;3,04
ECHAPORA;3,0
ITAPEVI;2,99
INDAIATUBA;2,91
ITOBI;2,9
GUARAREMA;2,89
CAFELANDIA;2,88
QUINTANA;2,87
VARZEA PAULISTA;2,86
SANTA ISABEL;2,86
JACAREI;2,86
CONCHAL;2,85
PIRACICABA;2,82
CUNHA;2,81
CANAS;2,78
BROTAS;2,73
BOREBI;2,73
CRUZEIRO;2,72
TABOAO DA SERRA;2,71
RUBINEIA;2,69
APIAI;2,66
SOROCABA;2,66
GUARIBA;2,64
PIEDADE;2,62
RIBEIRAO PIRES;2,58
SANTA CRUZ DO RIO PARDO;2,55
LUTECIA;2,53
PITANGUEIRAS;2,51
TATUI;2,48
ARARAQUARA;2,45
EMBU DAS ARTES;2,45
SAO JOSE DO RIO PRETO;2,44
PIRAJU;2,4
ATIBAIA;2,38
MONCOES;2,38
DESCALVADO;2,37
PRADOPOLIS;2,34
CAJATI;2,28
BIRIGUI;2,26
ILHA SOLTEIRA;2,24
SAO JOAO DA BOA VISTA;2,23
AGUAI;2,23
OCAUCU;2,23
REGINOPOLIS;2,21
SANTO EXPEDITO;2,14
TAQUARAL;2,1
AVAI;2,1
SAO LUIZ DO PARAITINGA;2,09
ITAQUAQUECETUBA;2,09
FRANCA;2,04
LEME;2,02
SOCORRO;2,0
VALINHOS;1,99
OURINHOS;1,96
MAUA;1,95
PILAR DO SUL;1,89
ILHA COMPRIDA;1,88
SANTOPOLIS DO AGUAPEI;1,85
PAULISTANIA;1,85
RIBEIRAO GRANDE;1,84
ARCO-IRIS;1,82
ANALANDIA;1,77
GUARULHOS;1,76
TUPA;1,76
