NO_REGIAO,NO_UF,NO_MUNICIPIO,NO_ENTIDADE,IN_INTERNET_ALUNOS,QT_TABLET_ALUNO,IN_LABORATORIO_INFORMATICA,IN_BIBLIOTECA,IN_ALIMENTACAO,IN_REFEITORIO,IN_AGUA_POTAVEL,IN_ENERGIA_REDE_PUBLICA,IN_ESGOTO_REDE_PUBLICA,IN_BANHEIRO,IN_QUADRA_ESPORTES
Sudeste,São Paulo,Adamantina,HELEN KELLER,Sim,3.0,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim
Sudeste,São Paulo,Adamantina,DURVALINO GRION PROF,Sim,0.0,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim
Sudeste,São Paulo,Adamantina,EUDECIO LUIZ VICENTE PROF ETEC,Sim,0.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
Sudeste,São Paulo,Adamantina,HERVAL BELLUSCI ENGENHEIRO ETEC,Sim,0.0,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,Não
Sudeste,São Paulo,Adamantina,FLEURIDES CAVALLINI MENECHINO PROFA,Sim,0.0,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim
Sudeste,São Paulo,Adamantina,SONHO DE CRIANCA EMEI CICLO I,Não,0.0,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não
Sudeste,São Paulo,Adamantina,EULALIA PASCHOAL BRIGHENTI PROFA EMEI CICLO II,Não,0.0,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não
Sudeste,São Paulo,Adamantina,EURICO LEITE DE MORAIS PROF EMEF,Não,0.0,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim
Sudeste,São Paulo,Adamantina,TERUYO KIKUTA PROFA EMEF,Sim,0.0,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim
Sudeste,São Paulo,Adamantina,EUNICE MARIS PROFA EMEI CICLO II,Não,0.0,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Não
Sudeste,São Paulo,Adamantina,DOMINGOS LATINE EMEI CICLO II,Não,0.0,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não
Sudeste,São Paulo,Adamantina,ESCOLA DE EDUCACAO ESPECIAL VIDA,Sim,6.0,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim
Sudeste,São Paulo,Adamantina,SAINT GEORGE SCHOOL,Não,0.0,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não
Sudeste,São Paulo,Adamantina,ADAMANTINENSE COLEGIO,Sim,0.0,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim
Sudeste,São Paulo,Adamantina,NAVARRO DE ANDRADE EMEF,Sim,0.0,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim
Sudeste,São Paulo,Adamantina,RAIO DE SOL EMEI CICLO I,Não,0.0,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não
Sudeste,São Paulo,Adamantina,PEQUENO POLEGAR EMEI CICLO I,Não,0.0,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não
Sudeste,São Paulo,Adamantina,CRIANCA FELIZ EMEI CICLO I,Não,0.0,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não
Sudeste,São Paulo,Adamantina,PEQUENO PRINCIPE EMEI CICLO I,Não,0.0,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não
Sudeste,São Paulo,Adamantina,CANTINHO DA CRIANCA EMEI CICLO I,Sim,0.0,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não
Sudeste,São Paulo,Adamantina,VILLA LOBOS INSTITUTO DE ENSINO ARTISTICO,Não,0.0,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Não
Sudeste,São Paulo,Adamantina,CRISTA DE ENSINO ESCOLA,Sim,0.0,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim
Sudeste,São Paulo,Adamantina,ADAMANTINA CENTRO DE RECREACAO INFANTIL DE,Não,0.0,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim
Sudeste,São Paulo,Adamantina,ESCOLA MUNICIPAL DE ED INFANTIL MONTEIRO LOBATO,Não,0.0,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não
Sudeste,São Paulo,Adamantina,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL CECILIA MEIRELES,Não,0.0,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não
Sudeste,São Paulo,Adamantina,ESCOLA CHAMPAGNAT UNIDADE ADAMANTINA,Sim,0.0,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim
Sudeste,São Paulo,Adolfo,CRECHE ESCOLA BARBARA ROMANO DE OLIVEIRA,Não,0.0,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não
Sudeste,São Paulo,Adolfo,ODILA BOVOLENTA DE MENDONCA PROFESSORA,Sim,0.0,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim
Sudeste,São Paulo,Adolfo,PINGO DE GENTE CRECHE CENTRO DE EDUCACAO INFANTIL,Não,0.0,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não
Sudeste,São Paulo,Adolfo,RUTH DOS REIS PROFA ESCOLA MUNICIPAL,Sim,0.0,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim
Sudeste,São Paulo,Adolfo,AMILDE TEDESCHI ESCOLA MUNICIPAL,Não,0.0,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim
Sudeste,São Paulo,Aguaí,CRECHE ESCOLA DOUTOR LUIZ JOSE MASSUIA BETITO,Sim,1.0,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não
Sudeste,São Paulo,Aguaí,CRECHE MUNICIPAL LAURA SORENSE MARTUCCI,Não,0.0,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não
Sudeste,São Paulo,Aguaí,JOSE THEODORO DE MORAES,Sim,0.0,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim
Sudeste,São Paulo,Aguaí,GERALDO LOURENCO PADRE,Sim,1.0,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim
Sudeste,São Paulo,Aguaí,EGLE LUPORINI COSTA PROFESSORA,Sim,0.0,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim
Sudeste,São Paulo,Aguaí,JOAQUIM GIRALDI PROFESSOR ESCOLA MUNICIPAL,Sim,0.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
Sudeste,São Paulo,Aguaí,AGUAI COLEGIO EXTERNATO,Sim,0.0,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim
