Municipio;Escola;Porcentagem de abandono - Ensino fundamental - Anos Iniciais;Porcentagem de abandono - Ensino fundamental - Anos Finais;Porcentagem de abandono - Ensino Médio
PIRACICABA;BENEDICTO EVANGELISTA COSTA PROFESSOR;0;0;0
PIRACICABA;ANIGER FRANCISCO DE MARIA MELILLO DOM;0;0;0
ARARAS;CESAR LACERDA DE VERGUEIRO SENADOR;0;0;0
ARARAS;FRANCISCO GRAZIANO;0;0;0
LEME;AUGUSTO DE SOUZA SARDINHA;0;0;0
PIRASSUNUNGA;THEREZINHA RODRIGUES PROFESSORA;0;2,87;3
PIRASSUNUNGA;HENRIQUE FERREIRA DOS REIS PROFESSOR;0;0,3;0
PORTO FERREIRA;WASHINGTON LUIZ;0;0;0,13
AGUAI;EGLE LUPORINI COSTA PROFESSORA;0;0;0
AGUAI;CONJUNTO HABITACIONAL DONA DOSANJOS MACEDO;0;0;0
CACONDE;OSCAR WALDOMIRO DE VASCONCELLOS PROFESSOR;0;0;0
ITOBI;RITA DE MACEDO BARRETO PROFESSORA;0;0,33;2,57
MOCOCA;BARAO DE MONTE SANTO;0;0;0
MOCOCA;NANCY DE REZENDE ZAMARIAN PROFESSORA;0;0;0
SAO JOAO DA BOA VISTA;CRISTIANO OSORIO DE OLIVEIRA CORONEL;0;0;0
SAO JOAO DA BOA VISTA;ISAURA TEIXEIRA VASCONCELLOS PROFESSORA;0;1,99;5,79
SAO JOSE DO RIO PARDO;JOAO GABRIEL RIBEIRO DOUTOR;0;0;0
SAO JOSE DO RIO PARDO;CONJUNTO HABITACIONAL NATAL MERLI;0;0;0
HORTOLANDIA;RAQUEL SAES MELHADO DA SILVA PROFESSORA;0;0;0
HORTOLANDIA;PAULINA ROSA PROFESSORA;0;0,4;0
SUMARE;MANUEL ALBALADEJO FERNANDES;0;0,62;2,53
SUMARE;LEONILDA ROSSI BARRIQUELO PROFESSORA;0;0;0
SUMARE;SAVINO CAMPIGLI;0;0;0
SUMARE;IVANI APARECIDA QUEIROZ PEREZ PROFESSORA;0;0;0
SUMARE;SONIA MARIA MASCHIO BAPTISTA PROFESSORA;0;0;0
CAMPINAS;CRISTIANO VOLKART;0;0;0
CAMPINAS;JOSE VILAGELIN NETO PROFESSOR;0;0;0
CAMPINAS;THOMAS ALVES DOUTOR;0;0;0
CAMPINAS;31 DE MARCO;0;0,44;0
CAMPINAS;FELIPE CANTUSIO;0;0;0
CAMPINAS;FRANCISCO ALVARES PROFESSOR;0;0;0
CAMPINAS;CONSUELO FREIRE BRANDAO PROFESSORA;0;0;0
CAMPINAS;DANTE ALIGHIERI VITA PROFESSOR;0;0;0
CAMPINAS;SEBASTIAO RAMOS NOGUEIRA PROFESSOR;0;0;0
CAMPINAS;SERGIO PEREIRA PORTO FISICO ;0;0;0
JAGUARIUNA;CELSO HENRIQUE TOZZI PROFESSOR;0;0;0
INDAIATUBA;HELIO CERQUEIRA LEITE PROFESSOR;0;0;0
INDAIATUBA;AURORA SCODRO GROFF;0;0;0
INDAIATUBA;JOSE DE CAMPOS PROFESSOR;0;0;0
MONTE MOR;ELIAS MASSUD DOUTOR;0;0,68;1,49
MONTE MOR;JOANA DE AGUIRRE MARINS PEIXOTO PROFESSORA;0;0,35;0,41
MONTE MOR;ANTONIO SPROESSER PROFESSOR;0;0;3,51
MONTE MOR;CYRIACO SCARANELLO PIRES CONEGO;0;2,12;12,56
RIO DAS PEDRAS;MANOEL DA COSTA NEVES PROFESSOR;0;0;4,36
ARARAQUARA;BENTO DE ABREU;0;0;0
ARARAQUARA;ANTONIO LOURENCO CORREA;0;0;0
ARARAQUARA;ERGILIA MICELLI PROFA;0;0;0
ARARAQUARA;JOAQUIM PINTO MACHADO JUNIOR PROFESSOR MACHADINHO;0;0;0
ARARAQUARA;OACYR ANTONIO ELLERO PROFESSOR;0;0;0
ARARAQUARA;LEONARDO BARBIERI DEPUTADO;0;0;0
ARARAQUARA;JANDYRA NERY GATTI PROFA;0;0;0
ASSIS;LOURDES PEREIRA PROFA;0;0,79;0
CRUZALIA;JOAQUIM GONCALVES DE OLIVEIRA;0;0;0
PARAGUACU PAULISTA;MARIA ANGELA BATISTA DIAS PROFA;0;0;0
GARCA;LYDIA YVONE GOMES MARQUES PROFA;0;0,56;2,99
GARCA;NORMA MONICO TRUZZI PROFA;0;0;0
MARILIA;RUTH MAMEDE DE GODOY PROFA;0;0;0
MARILIA;NELSON CABRINI PROF;0;0;0
MARILIA;LOURENCO DE ALMEIDA SENNE DR;0;0;0
MARILIA;CARLOTA DE NEGREIROS ROCHA PROFA;0;0;0
MARILIA;WALDEMAR MONIZ DA ROCHA BARROS DR;0;0,37;0
MARILIA;ABEL AUGUSTO FRAGATA;1,29;0;0
MARILIA;JOSE ALFREDO DE ALMEIDA;0;0;0
MARILIA;JARDIM ALCIR RAINERI;0;0;0
BERNARDINO DE CAMPOS;JOSE INOCENCIO MOREIRA CORONEL;0;0;0
OURINHOS;MARIA DO CARMO ARRUDA DA SILVA PROFESSORA;0;0;0
