Municipio;Porcentagem de abandono - Ensino fundamental - Anos Iniciais;Porcentagem de abandono - Ensino fundamental - Anos Finais;Porcentagem de abandono - Ensino Médio;Total Abandono Escolar
ADAMANTINA;0,0;0,0;0,0;0,0
DRACENA;0,0;0,0;0,0;0,0
SANTA LUCIA;0,0;0,0;0,0;0,0
TRABIJU;0,0;0,0;0,0;0,0
ASSIS;0,0;0,03;0,1;0,13
BORA;0,0;0,0;0,0;0,0
CANDIDO MOTA;0,0;0,08;0,84;0,9199999999999999
CRUZALIA;0,0;0,0;0,0;0,0
FLORÃNEA;0,0;0,0;1,3;1,3
IEPE;0,0;0,0;0,0;0,0
LUTECIA;0,0;0,0;0,0;0,0
MARACAI;0,0;0,0;0,0;0,0
NANTES;0,0;0,0;0,0;0,0
PALMITAL;0,0;0,0;0,0;0,0
PARAGUACU PAULISTA;0,0;0,0;0,0;0,0
PEDRINHAS PAULISTA;0,0;0,0;0,0;0,0
FLORA RICA;0,0;0,0;0,0;0,0
FLORIDA PAULISTA;0,0;0,0;0,0;0,0
INUBIA PAULISTA;0,0;1,24;0,0;1,24
IRAPURU;0,0;0,0;0,0;0,0
JUNQUEIROPOLIS;0,0;0,0;0,0;0,0
LUCELIA;0,0;0,0;0,0;0,0
MARIAPOLIS;0,0;0,0;0,0;0,0
MONTE CASTELO;0,0;0,55;0,0;0,55
NOVA GUATAPORANGA;0,0;0,0;0,0;0,0
OSVALDO CRUZ;0,0;0,0;0,0;0,0
OURO VERDE;0,0;0,0;0,0;0,0
PACAEMBU;0,0;0,0;0,0;0,0
PANORAMA;0,0;0,0;0,0;0,0
PAULICEIA;0,0;0,0;0,0;0,0
PRACINHA;0,0;0,0;0,0;0,0
SAGRES;0,0;0,0;0,0;0,0
SALMOURAO;0,0;0,0;0,0;0,0
SANTA MERCEDES;0,0;0,0;0,0;0,0
SAO JOAO DO PAU D'ALHO;0,0;0,0;0,0;0,0
TUPI PAULISTA;0,0;0,0;2,05;2,05
AMERICANA;0,0;0,0;0,28;0,28
NOVA ODESSA;0,0;0,17;0,56;0,7300000000000001
SANTA BARBARA D'OESTE;0,0;0,04;1,41;1,45
ANDRADINA;0,0;0,0;0,07;0,07
CASTILHO;0,0;0,0;0,0;0,0
GUARACAI;0,0;0,0;0,0;0,0
ILHA SOLTEIRA;0,0;0,11;0,0;0,11
ITAPURA;0,0;0,0;0,0;0,0
LAVINIA;0,0;0,0;0,0;0,0
MIRANDOPOLIS;0,0;0,0;0,21;0,21
MURUTINGA DO SUL;0,0;0,0;0,0;0,0
NOVA INDEPENDENCIA;0,0;0,0;0,0;0,0
PEREIRA BARRETO;0,0;0,0;0,0;0,0
SUD MENNUCCI;0,0;0,0;0,0;0,0
APIAI;0,0;0,0;0,0;0,0
BARRA DO CHAPEU;0,0;0,0;0,0;0,0
GUAPIARA;0,0;0,0;0,0;0,0
IPORANGA;0,0;0,0;0,0;0,0
ITAOCA;0,0;0,0;0,0;0,0
ITAPIRAPUA PAULISTA;0,0;0,0;0,0;0,0
RIBEIRA;0,0;0,0;0,0;0,0
RIBEIRAO BRANCO;0,0;0,0;0,0;0,0
ARACATUBA;0,0;0,0;0,0;0,0
BENTO DE ABREU;0,0;0,0;0,0;0,0
GUARARAPES;0,0;0,0;0,0;0,0
RUBIACEA;0,0;0,0;0,0;0,0
SANTO ANTONIO DO ARACANGUA;0,0;0,0;0,0;0,0
VALPARAISO;0,0;0,0;0,0;0,0
AMERICO BRASILIENSE;0,0;0,0;0,0;0,0
ARARAQUARA;0,0;0,01;0,57;0,58
BOA ESPERANCA DO SUL;0,0;0,0;0,0;0,0
GAVIAO PEIXOTO;0,0;0,0;0,0;0,0
MATAO;0,0;0,0;0,0;0,0
MOTUCA;0,0;0,0;2,59;2,59
NOVA EUROPA;0,0;0,0;0,0;0,0
RINCAO;0,0;0,0;0,0;0,0
PLATINA;0,0;0,55;1,31;1,86
TARUMA;0,0;0,11;0,21;0,32
AGUAS DE SANTA BARBARA;0,0;0,0;0,0;0,0
ARANDU;0,0;0,0;0,0;0,0
AVARE;0,0;0,08;0,29;0,37
CERQUEIRA CESAR;0,0;0,0;0,0;0,0
IARAS;0,0;0,0;0,0;0,0
ITAI;0,0;0,0;0,0;0,0
TAQUARITUBA;0,0;0,1;0,0;0,1
ALTAIR;0,0;0,0;1,01;1,01
BARRETOS;0,0;0,06;0,31;0,37
COLINA;0,0;0,0;0,0;0,0
COLOMBIA;0,0;0,0;0,0;0,0
GUAIRA;0,0;0,0;0,72;0,72
GUARACI;0,0;0,0;0,0;0,0
JABORANDI;0,0;0,0;0,0;0,0
OLIMPIA;0,0;0,0;0,0;0,0
SEVERINIA;0,0;0,0;0,0;0,0
AGUDOS;0,0;0,12;0,3;0,42
AREALVA;0,0;0,0;0,0;0,0
AVAI;0,0;0,0;0,0;0,0
BALBINOS;0,0;0,0;0,0;0,0
BAURU;0,0;0,28;1,15;1,43
CABRALIA PAULISTA;0,0;1,81;11,11;12,92
DUARTINA;0,0;0,0;0,0;0,0
IACANGA;0,0;0,0;0,0;0,0
LENCOIS PAULISTA;0,0;0,13;0,18;0,31
LUCIANOPOLIS;0,0;0,0;0,0;0,0
PAULISTANIA;0,0;0,96;0,0;0,96
PIRAJUI;0,0;0,0;0,0;0,0
PIRATININGA;0,0;0,0;0,0;0,0
PRESIDENTE ALVES;0,0;0,0;0,0;0,0
REGINOPOLIS;0,0;0,0;0,0;0,0
UBIRAJARA;0,0;0,0;0,0;0,0
BILAC;0,0;0,0;0,0;0,0
BIRIGUI;0,0;0,06;0,1;0,16
BREJO ALEGRE;0,0;0,0;0,0;0,0
BURITAMA;0,0;0,0;0,0;0,0
COROADOS;0,0;0,0;0,0;0,0
GABRIEL MONTEIRO;0,0;0,0;0,0;0,0
GLICERIO;0,0;0,0;0,0;0,0
LOURDES;0,0;0,0;0,0;0,0
PIACATU;0,0;0,0;0,0;0,0
TURIUBA;0,0;0,0;0,0;0,0
ANHEMBI;0,0;0,0;0,0;0,0
AREIOPOLIS;0,0;0,0;0,0;0,0
BOFETE;0,0;0,0;0,0;0,0
BOTUCATU;0,0;0,0;0,07;0,07
CESARIO LANGE;0,0;0,0;0,0;0,0
CONCHAS;0,0;0,0;0,0;0,0
ITATINGA;0,0;0,0;0,0;0,0
LARANJAL PAULISTA;0,0;0,0;0,0;0,0
PARDINHO;0,0;0,0;0,0;0,0
PEREIRAS;0,0;0,0;0,0;0,0
PORANGABA;0,0;0,0;0,0;0,0
PRATANIA;0,0;0,0;0,0;0,0
QUADRA;0,0;0,0;0,0;0,0
SAO MANUEL;0,0;0,0;0,0;0,0
TORRE DE PEDRA;0,0;0,0;0,0;0,0
ATIBAIA;0,0;0,04;0,28;0,32
BOM JESUS DOS PERDOES;0,0;0,15;2,27;2,42
BRAGANCA PAULISTA;0,0;0,01;0,08;0,09
JOANOPOLIS;0,0;0,0;0,0;0,0
MORUNGABA;0,0;0,0;0,26;0,26
NAZARE PAULISTA;0,0;0,0;0,0;0,0
PEDRA BELA;0,0;0,0;0,0;0,0
PINHALZINHO;0,0;0,0;0,0;0,0
PIRACAIA;0,0;0,0;0,0;0,0
SOCORRO;0,0;0,0;0,11;0,11
TUIUTI;0,0;0,0;0,0;0,0
VARGEM;0,0;0,0;0,0;0,0
CAIEIRAS;0,0;0,11;0,93;1,04
CAJAMAR;0,0;0,0;0,56;0,56
FRANCISCO MORATO;0,0;0,41;0,85;1,26
FRANCO DA ROCHA;0,0;0,13;0,46;0,5900000000000001
MAIRIPORA;0,0;0,09;0,6;0,69
CAMPINAS;0,01;0,02;0,09;0,12
JAGUARIUNA;0,0;0,0;0,56;0,56
CAMPINAS;0,19;0,6;2,25;3,04
VALINHOS;0,0;0,16;0,23;0,39
VINHEDO;0,0;0,0;1,59;1,59
CAPIVARI;0,0;0,0;0,39;0,39
ELIAS FAUSTO;0,0;0,0;0,86;0,86
INDAIATUBA;0,0;0,18;0,44;0,62
MOMBUCA;0,0;0,0;0,96;0,96
MONTE MOR;0,0;0,07;0,05;0,12000000000000001
RAFARD;0,0;0,0;0,0;0,0
RIO DAS PEDRAS;0,0;0,0;0,25;0,25
CARAGUATATUBA;0,0;0,0;0,02;0,02
ILHABELA;0,0;0,0;0,0;0,0
SAO SEBASTIAO;0,0;0,0;0,0;0,0
UBATUBA;0,0;0,0;0,12;0,12
CARAPICUIBA;0,08;0,47;1,24;1,79
COTIA;0,0;0,29;1,57;1,86
ARIRANHA;0,0;0,0;0,0;0,0
CAJOBI;0,0;0,0;0,0;0,0
CATANDUVA;0,0;0,0;0,09;0,09
CATIGUA;0,0;0,0;0,0;0,0
ELISIARIO;0,0;0,0;0,0;0,0
EMBAUBA;0,0;0,0;0,0;0,0
ITAJOBI;0,0;0,0;0,0;0,0
MARAPOAMA;0,0;0,0;0,0;0,0
NOVAIS;0,0;0,0;0,0;0,0
NOVO HORIZONTE;0,0;0,0;0,0;0,0
PALMARES PAULISTA;0,0;0,0;0,0;0,0
PARAISO;0,0;0,0;0,0;0,0
PINDORAMA;0,0;0,0;0,0;0,0
SANTA ADELIA;0,0;0,0;0,0;0,0
TABAPUA;0,0;0,0;0,0;0,0
SAO PAULO;0,14;0,25;0,46;0,8500000000000001
SAO PAULO;0,06;0,13;2,67;2,86
SAO PAULO;0,01;0,24;0,66;0,91
DIADEMA;0,01;0,05;0,16;0,22
ESTRELA D'OESTE;0,0;0,0;0,0;0,0
FERNANDOPOLIS;0,0;0,0;0,0;0,0
GENERAL SALGADO;0,0;0,0;0,0;0,0
GUARANI D'OESTE;0,0;0,0;0,0;0,0
INDIAPORA;0,0;0,0;0,0;0,0
MACEDONIA;0,0;0,0;0,0;0,0
MAGDA;0,0;0,0;0,0;0,0
MERIDIANO;0,0;0,0;0,0;0,0
MIRA ESTRELA;0,0;0,0;0,0;0,0
OUROESTE;0,0;0,0;0,0;0,0
PEDRANOPOLIS;0,0;0,0;0,0;0,0
POPULINA;0,0;0,0;0,0;0,0
SAO JOAO DAS DUAS PONTES;0,0;0,0;0,0;0,0
SAO JOAO DE IRACEMA;0,0;0,0;0,0;0,0
TURMALINA;0,0;0,0;0,0;0,0
CRISTAIS PAULISTA;0,0;0,0;1,47;1,47
FRANCA;0,0;0,16;0,93;1,09
ITIRAPUA;0,0;0,0;0,0;0,0
JERIQUARA;0,0;0,0;0,0;0,0
PATROCINIO PAULISTA;0,0;0,0;0,0;0,0
PEDREGULHO;0,0;0,0;2,27;2,27
RESTINGA;0,0;0,0;0,0;0,0
RIBEIRAO CORRENTE;0,0;0,0;0,0;0,0
RIFAINA;0,0;0,0;2,34;2,34
SAO JOSE DA BELA VISTA;0,0;0,23;0,0;0,23
APARECIDA;0,0;0,0;0,0;0,0
ARAPEI;0,0;0,0;0,0;0,0
AREIAS;0,0;0,0;0,68;0,68
BANANAL;0,0;0,0;0,0;0,0
CACHOEIRA PAULISTA;0,0;0,0;0,0;0,0
CANAS;0,0;0,0;0,0;0,0
CRUZEIRO;0,0;0,09;0,66;0,75
CUNHA;0,0;0,0;0,0;0,0
GUARATINGUETA;0,0;0,04;0,04;0,08
LAVRINHAS;0,0;0,0;0,0;0,0
LORENA;0,0;0,06;0,57;0,6299999999999999
PIQUETE;0,0;0,22;0,0;0,22
POTIM;0,0;0,0;0,0;0,0
QUELUZ;0,0;0,0;0,0;0,0
ROSEIRA;0,0;0,0;0,0;0,0
SAO JOSE DO BARREIRO;0,0;0,0;1,49;1,49
SILVEIRAS;0,0;0,0;0,0;0,0
GUARULHOS;0,0;0,11;0,67;0,78
GUARULHOS;0,01;0,11;0,69;0,8099999999999999
EMBU-GUACU;0,0;0,03;0,12;0,15
ITAPECERICA DA SERRA;0,0;0,02;0,21;0,22999999999999998
JUQUITIBA;0,0;0,0;0,0;0,0
SAO LOURENCO DA SERRA;0,0;0,0;0,0;0,0
ALAMBARI;0,0;0,0;0,0;0,0
ANGATUBA;0,0;0,0;0,17;0,17
CAMPINA DO MONTE ALEGRE;0,0;0,0;0,49;0,49
GUAREI;0,0;0,0;0,0;0,0
ITAPETININGA;0,0;0,01;0,05;0,060000000000000005
PARANAPANEMA;0,0;0,0;0,16;0,16
SAO MIGUEL ARCANJO;0,0;0,0;0,0;0,0
SARAPUI;0,0;0,0;0,0;0,0
TATUI;0,0;0,22;0,84;1,06
BURI;0,0;0,0;0,0;0,0
