
Percentual de escolas com INTERNET ALUNOS:
NO_MUNICIPIO,IN_INTERNET_ALUNOS
Álvares Florence,100.0
Lutécia,100.0
Magda,100.0
Aparecida d'Oeste,100.0
Três Fronteiras,100.0
Tuiuti,100.0
Aspásia,100.0
Óleo,100.0
Sandovalina,100.0
Cordeirópolis,100.0
Santana da Ponte Pensa,100.0
Gastão Vidigal,100.0
Nova Canaã Paulista,100.0
Silveiras,100.0
Ocauçu,100.0
Itapirapuã Paulista,100.0
Murutinga do Sul,100.0
Bilac,100.0
São João de Iracema,100.0
Arealva,100.0
Arco-Íris,100.0
Águas de São Pedro,100.0
Américo de Campos,100.0
Redenção da Serra,100.0
Flora Rica,100.0
Pontes Gestal,100.0
Floreal,100.0
Tarumã,97.0
Palmares Paulista,95.5
Nova Aliança,95.2
Ribeira,94.4
Saltinho,93.3
Mirante do Paranapanema,92.9
Guzolândia,91.7
Campos Novos Paulista,91.7
Indiaporã,91.7
Paraíso,91.7
Serra Negra,91.6
Fernando Prestes,90.5
Analândia,90.0
João Ramalho,90.0
Barra do Turvo,90.0
Ibaté,89.3
Lagoinha,88.9
Embaúba,88.9
Cafelândia,88.9
Divinolândia,88.9
Joanópolis,88.9
Itu,85.5
Parapuã,85.2
Meridiano,83.3
Pinhalzinho,83.3
São Francisco,83.3
Sebastianópolis do Sul,83.3
Canas,83.3
Echaporã,83.3
Promissão,82.8
Piracaia,82.4
Maracaí,82.2
Itapuí,81.5
São José do Barreiro,81.0
Riversul,81.0
Monteiro Lobato,81.0
Palmital,80.7
Salto,80.4
Itirapuã,80.0
Jaborandi,80.0
Santa Cruz da Conceição,80.0
Guarani d'Oeste,80.0
Ipiguá,80.0
Glicério,80.0
São Luiz do Paraitinga,79.3
Ouroeste,79.2
Duartina,78.8
Mogi das Cruzes,78.7
Guararema,78.0
Oscar Bressane,77.8
Nuporanga,77.8
Brejo Alegre,77.8
Nova Castilho,77.8
Palmeira d'Oeste,77.8
Uru,77.8
Urânia,77.8
Santo Antônio de Posse,77.6
Bom Jesus dos Perdões,77.1
Apiaí,77.1
