Município,Percentual
Adamantina,46.2,38.5,11.5,80.8,76.9,100.0,100.0,96.2,100.0,46.2
Adolfo,40.0,60.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,60.0
Aguaí,88.9,66.7,7.4,88.9,81.5,100.0,96.3,96.3,100.0,74.1
Agudos,66.7,43.3,16.7,80.0,76.7,100.0,100.0,100.0,100.0,46.7
Alambari,28.6,28.6,14.3,100.0,100.0,100.0,100.0,85.7,100.0,14.3
Alfredo Marcondes,66.7,33.3,0.0,100.0,66.7,100.0,100.0,100.0,100.0,33.3
Altair,50.0,25.0,0.0,100.0,50.0,100.0,100.0,100.0,100.0,50.0
Altinópolis,57.1,64.3,35.7,85.7,78.6,100.0,100.0,92.9,100.0,64.3
Alto Alegre,50.0,25.0,25.0,100.0,75.0,100.0,100.0,100.0,100.0,50.0
Alumínio,80.0,66.7,13.3,86.7,73.3,100.0,100.0,93.3,100.0,46.7
Alvinlândia,75.0,25.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0
Americana,47.8,36.9,17.2,65.6,68.8,99.4,100.0,100.0,100.0,42.0
Amparo,44.1,45.8,10.2,79.7,67.8,100.0,100.0,89.8,100.0,52.5
Américo Brasiliense,47.6,52.4,23.8,85.7,47.6,100.0,100.0,100.0,100.0,38.1
Américo de Campos,100.0,80.0,40.0,100.0,80.0,100.0,100.0,100.0,100.0,40.0
Analândia,66.7,66.7,0.0,100.0,33.3,100.0,100.0,100.0,100.0,33.3
Andradina,42.0,44.0,18.0,84.0,68.0,100.0,96.0,94.0,100.0,48.0
Angatuba,56.2,62.5,0.0,93.8,68.8,100.0,100.0,81.2,100.0,62.5
Anhembi,33.3,50.0,16.7,100.0,100.0,100.0,100.0,100.0,100.0,66.7
Anhumas,50.0,75.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0
Aparecida,40.0,34.3,20.0,88.6,65.7,100.0,100.0,100.0,100.0,48.6
Aparecida d'Oeste,100.0,66.7,0.0,100.0,66.7,100.0,100.0,100.0,100.0,66.7
Apiaí,81.5,44.4,11.1,96.3,44.4,100.0,100.0,74.1,96.3,51.9
Aramina,40.0,40.0,0.0,100.0,40.0,100.0,100.0,100.0,100.0,40.0
Arandu,50.0,50.0,0.0,100.0,33.3,100.0,100.0,100.0,100.0,33.3
Arapeí,33.3,33.3,0.0,100.0,66.7,100.0,100.0,100.0,100.0,66.7
Araraquara,68.5,40.0,39.4,70.9,70.3,100.0,99.4,99.4,98.8,53.3
Araras,52.9,50.6,13.8,82.8,78.2,100.0,98.9,98.9,100.0,57.5
Araçariguama,39.1,13.0,4.3,95.7,43.5,100.0,100.0,87.0,95.7,47.8
Araçatuba,65.5,46.2,22.8,70.3,72.4,100.0,100.0,97.9,98.6,51.7
Araçoiaba da Serra,46.7,36.7,10.0,90.0,56.7,100.0,100.0,56.7,100.0,50.0
Arco-Íris,100.0,66.7,0.0,100.0,33.3,100.0,100.0,100.0,100.0,66.7
Arealva,100.0,22.2,44.4,100.0,55.6,100.0,100.0,100.0,100.0,55.6
Areias,60.0,40.0,20.0,100.0,60.0,100.0,80.0,100.0,100.0,60.0
Areiópolis,55.6,44.4,11.1,100.0,88.9,100.0,100.0,100.0,100.0,33.3
Ariranha,66.7,66.7,0.0,100.0,66.7,100.0,100.0,100.0,100.0,66.7
Artur Nogueira,43.2,32.4,37.8,91.9,56.8,100.0,100.0,97.3,100.0,48.6
Arujá,47.9,47.9,24.7,76.7,63.0,100.0,100.0,91.8,100.0,63.0
Aspásia,100.0,50.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0
Assis,64.8,57.7,21.1,69.0,64.8,100.0,98.6,100.0,95.8,66.2
Atibaia,47.2,33.3,38.2,72.4,69.9,99.2,100.0,78.0,99.2,57.7
Auriflama,50.0,50.0,8.3,83.3,33.3,100.0,100.0,100.0,100.0,41.7
Avanhandava,40.0,50.0,0.0,90.0,80.0,100.0,100.0,100.0,100.0,40.0
Avaré,49.4,46.8,11.7,72.7,57.1,100.0,100.0,97.4,97.4,50.6
Avaí,50.0,12.5,12.5,100.0,37.5,100.0,100.0,62.5,100.0,25.0
Bady Bassitt,33.3,20.0,13.3,93.3,33.3,100.0,100.0,100.0,100.0,33.3
Balbinos,16.7,16.7,16.7,66.7,50.0,100.0,100.0,100.0,83.3,16.7
Bananal,60.0,40.0,0.0,100.0,40.0,100.0,100.0,70.0,100.0,50.0
Barbosa,16.7,33.3,16.7,100.0,50.0,100.0,100.0,100.0,100.0,33.3
Bariri,57.1,46.4,35.7,82.1,60.7,100.0,100.0,100.0,100.0,50.0
Barra Bonita,66.7,74.1,22.2,70.4,55.6,100.0,100.0,100.0,100.0,59.3
Barra do Chapéu,33.3,11.1,5.6,100.0,16.7,100.0,100.0,50.0,94.4,38.9
Barra do Turvo,100.0,20.0,40.0,100.0,30.0,80.0,100.0,50.0,100.0,20.0
Barretos,36.2,26.6,17.0,88.3,80.9,100.0,100.0,97.9,94.7,40.4
Barrinha,22.7,22.7,0.0,95.5,27.3,100.0,100.0,100.0,100.0,50.0
Barueri,67.5,57.5,15.6,92.5,79.4,99.4,100.0,99.4,100.0,60.6
Barão de Antonina,71.4,28.6,14.3,100.0,85.7,100.0,85.7,57.1,100.0,14.3
Bastos,36.8,26.3,5.3,94.7,89.5,100.0,94.7,89.5,100.0,52.6
Batatais,52.2,56.5,41.3,73.9,69.6,100.0,100.0,100.0,100.0,52.2
Bauru,48.4,37.7,23.4,69.8,65.9,100.0,100.0,100.0,99.2,58.3
Bebedouro,54.0,41.3,11.1,71.4,73.0,100.0,98.4,100.0,100.0,57.1
Bento de Abreu,25.0,50.0,25.0,100.0,75.0,100.0,100.0,100.0,100.0,50.0
Bernardino de Campos,30.8,38.5,0.0,84.6,61.5,100.0,100.0,100.0,92.3,38.5
Bertioga,50.9,28.3,17.0,71.7,73.6,98.1,100.0,83.0,100.0,39.6
Bilac,100.0,25.0,0.0,100.0,75.0,100.0,100.0,100.0,100.0,50.0
Birigui,60.0,61.5,16.9,80.0,75.4,100.0,100.0,100.0,98.5,56.9
Biritiba Mirim,25.0,40.0,0.0,85.0,60.0,100.0,100.0,90.0,100.0,35.0
Boa Esperança do Sul,40.0,20.0,20.0,90.0,60.0,100.0,100.0,100.0,100.0,50.0
Bocaina,63.6,63.6,27.3,81.8,63.6,100.0,100.0,100.0,100.0,45.5
Bofete,50.0,30.0,0.0,100.0,60.0,100.0,100.0,70.0,100.0,60.0
Boituva,41.1,19.6,10.7,82.1,69.6,100.0,100.0,96.4,100.0,44.6
Bom Jesus dos Perdões,81.2,37.5,25.0,93.8,56.2,100.0,100.0,81.2,87.5,62.5
Bom Sucesso de Itararé,50.0,50.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0
Boracéia,60.0,60.0,0.0,100.0,40.0,100.0,100.0,100.0,100.0,60.0
Borborema,72.7,54.5,27.3,72.7,36.4,100.0,100.0,100.0,100.0,36.4
Borebi,25.0,50.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0
Borá,66.7,66.7,0.0,100.0,0.0,100.0,100.0,100.0,100.0,66.7
Botucatu,51.9,33.3,10.9,75.2,70.5,98.4,99.2,96.9,98.4,51.2
Bragança Paulista,74.0,36.6,44.3,77.9,75.6,100.0,98.5,80.2,100.0,52.7
Braúna,60.0,60.0,20.0,100.0,60.0,100.0,100.0,80.0,100.0,40.0
Brejo Alegre,66.7,33.3,0.0,100.0,100.0,100.0,100.0,100.0,100.0,66.7
Brodowski,25.0,30.0,25.0,75.0,50.0,100.0,100.0,100.0,100.0,65.0
Brotas,55.0,55.0,30.0,75.0,70.0,100.0,100.0,100.0,100.0,50.0
Buri,31.6,47.4,0.0,100.0,84.2,100.0,100.0,89.5,100.0,68.4
Buritama,54.5,54.5,18.2,90.9,72.7,100.0,100.0,100.0,100.0,45.5
Buritizal,60.0,60.0,40.0,100.0,60.0,100.0,100.0,100.0,100.0,60.0
Bálsamo,50.0,75.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0
Cabreúva,51.5,45.5,6.1,90.9,57.6,100.0,100.0,84.8,97.0,30.3
Cabrália Paulista,40.0,60.0,20.0,100.0,100.0,100.0,100.0,80.0,100.0,60.0
Cachoeira Paulista,50.0,55.9,20.6,79.4,73.5,100.0,100.0,97.1,100.0,64.7
Caconde,38.9,33.3,5.6,88.9,72.2,100.0,100.0,88.9,100.0,33.3
Cafelândia,100.0,33.3,20.0,86.7,46.7,100.0,100.0,100.0,93.3,53.3
Caiabu,20.0,20.0,0.0,100.0,40.0,100.0,100.0,100.0,100.0,40.0
Caieiras,54.1,43.2,13.5,78.4,70.3,100.0,100.0,95.9,95.9,44.6
Caiuá,50.0,50.0,0.0,83.3,33.3,100.0,100.0,100.0,100.0,66.7
Cajamar,36.1,47.5,24.6,80.3,80.3,100.0,100.0,93.4,93.4,50.8
Cajati,57.1,42.9,17.9,96.4,21.4,100.0,100.0,96.4,100.0,42.9
Cajobi,55.6,66.7,44.4,100.0,88.9,100.0,100.0,100.0,100.0,55.6
