;Municipio;Total Abandono Escolar
0;ADAMANTINA;0,3
1;ADOLFO;0,0
2;AGUAI;2,23
3;AGUAS DA PRATA;0,0
4;AGUAS DE LINDOIA;0,0
5;AGUAS DE SANTA BARBARA;0,0
6;AGUAS DE SAO PEDRO;0,0
7;AGUDOS;0,0
8;ALAMBARI;0,0
9;ALFREDO MARCONDES;3,3
10;ALTAIR;0,51
11;ALTINOPOLIS;11,18
12;ALTO ALEGRE;0,0
13;ALUMINIO;0,0
14;ALVARES FLORENCE;3,31
15;ALVARES MACHADO;7,89
16;ALVARO DE CARVALHO;9,02
17;ALVINLANDIA;0,0
18;AMERICANA;3,17
19;AMERICO BRASILIENSE;0,26
20;AMERICO DE CAMPOS;0,0
21;AMPARO;1,34
22;ANALANDIA;1,77
23;ANDRADINA;0,52
24;ANGATUBA;0,46
25;ANHEMBI;0,0
26;ANHUMAS;5,56
27;APARECIDA;1,39
28;APARECIDA D'OESTE;0,0
29;APIAI;2,66
30;ARACARIGUAMA;0,12
31;ARACATUBA;0,67
32;ARACOIABA DA SERRA;3,29
33;ARAMINA;0,0
34;ARANDU;3,8
35;ARAPEI;0,0
36;ARARAQUARA;2,45
37;ARARAS;3,18
38;ARCO-IRIS;1,82
39;AREALVA;3,06
40;AREIAS;4,48
41;AREIOPOLIS;0,0
42;ARIRANHA;0,0
43;ARTUR NOGUEIRA;1,28
44;ARUJA;3,79
45;ASPASIA;0,0
46;ASSIS;0,27
47;ATIBAIA;2,38
48;AURIFLAMA;0,28
49;AVAI;2,1
50;AVANHANDAVA;0,0
51;AVARE;5,92
52;BADY BASSITT;0,31
53;BALBINOS;0,0
54;BALSAMO;0,5
55;BANANAL;1,75
56;BARAO DE ANTONINA;0,0
57;BARBOSA;0,0
58;BARIRI;0,0
59;BARRA BONITA;0,0
60;BARRA DO CHAPEU;3,46
61;BARRA DO TURVO;1,29
62;BARRETOS;1,23
63;BARRINHA;0,0
64;BARUERI;1,7
65;BASTOS;0,99
66;BATATAIS;4,23
67;BAURU;5,31
68;BEBEDOURO;4,9
69;BENTO DE ABREU;0,0
70;BERNARDINO DE CAMPOS;0,0
71;BERTIOGA;4,16
72;BILAC;0,0
73;BIRIGUI;2,26
74;BIRITIBA-MIRIM;0,06
75;BOA ESPERANCA DO SUL;0,0
76;BOCAINA;0,0
77;BOFETE;0,0
78;BOITUVA;0,14
79;BOM JESUS DOS PERDOES;0,98
80;BOM SUCESSO DE ITARARE;0,0
81;BORA;0,0
82;BORACEIA;0,0
83;BORBOREMA;0,0
84;BOREBI;2,73
85;BOTUCATU;3,57
86;BRAGANCA PAULISTA;0,66
87;BRAUNA;0,0
88;BREJO ALEGRE;0,0
89;BRODOWSKI;4,52
90;BROTAS;2,73
91;BURI;0,0
92;BURITAMA;0,0
93;BURITIZAL;0,0
94;CABRALIA PAULISTA;4,89
95;CABREUVA;1,23
96;CACAPAVA;3,04
97;CACHOEIRA PAULISTA;1,03
98;CACONDE;3,88
99;CAFELANDIA;2,88
100;CAIABU;4,42
101;CAIEIRAS;1,66
102;CAIUA;0,91
103;CAJAMAR;1,6
104;CAJATI;2,28
105;CAJOBI;0,0
106;CAJURU;4,84
107;CAMPINA DO MONTE ALEGRE;0,0
108;CAMPINAS;3,28
109;CAMPO LIMPO PAULISTA;0,41
110;CAMPOS DO JORDAO;5,78
111;CAMPOS NOVOS PAULISTA;3,6
112;CANANEIA;9,24
113;CANAS;2,78
114;CANDIDO MOTA;0,15
115;CANDIDO RODRIGUES;0,0
116;CANITAR;0,0
117;CAPAO BONITO;0,07
118;CAPELA DO ALTO;8,05
119;CAPIVARI;7,21
120;CARAGUATATUBA;0,04
121;CARAPICUIBA;4,65
122;CARDOSO;0,0
123;CASA BRANCA;8,96
124;CASSIA DOS COQUEIROS;0,0
125;CASTILHO;0,0
126;CATANDUVA;0,0
127;CATIGUA;4,77
128;CEDRAL;0,0
129;CERQUEIRA CESAR;0,0
130;CERQUILHO;0,0
131;CESARIO LANGE;0,14
132;CHARQUEADA;4,88
133;CHAVANTES;4,8
134;CLEMENTINA;0,0
135;COLINA;0,0
136;COLOMBIA;0,0
137;CONCHAL;2,85
138;CONCHAS;1,66
139;CORDEIROPOLIS;3,59
140;COROADOS;0,0
141;CORONEL MACEDO;3,77
142;CORUMBATAI;0,0
143;COSMOPOLIS;6,34
